INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
级别	名称	需求金钱	需求经验	技能熟练度限制	技能熟练度限制(客户端显示)	本级熟练度的上限	等级限制	NPC名称	NPC需求金钱	NPC需求经验
1	捕捉(等级1)	2500	10	0	0	1500	10	村夫	0	0
2	捕捉(等级2)	5000	10	0	0	5800	15	村夫	0	0
3	捕捉(等级3)	10000	10	0	0	14200	20	村夫	0	0
4	捕捉(等级4)	20000	10	20	20	28100	20	村夫	0	0
5	捕捉(等级5)	40000	10	20	20	49200	50	村夫	0	0
6	捕捉(等级6)	80000	10	20	20	79700	50	村夫	0	0
7	捕捉(等级7)	160000	10	20	20	122700	50	村夫	0	0
8	捕捉(等级8)	320000	10	20	20	183500	50	村夫	0	0
9	捕捉(等级9)	640000	10	20	20	283500	50	村夫	0	0
10	捕捉(等级10)	1280000	10	20	20	283500	50	村夫	0	0
