INT	STRING	INT
物品ID	说明	目标牌型
11970021	随机牌型	5
11980015	东	15
11980016	南	16
11980017	西	17
11980018	北	18
11980019	中	19
11980020	发	20
11980021	白	21
11980031	1条	31
11980032	2条	32
11980033	3条	33
11980034	4条	34
11980035	5条	35
11980036	6条	36
11980037	7条	37
11980038	8条	38
11980039	9条	39
11980041	1筒	41
11980042	2筒	42
11980043	3筒	43
11980044	4筒	44
11980045	5筒	45
11980046	6筒	46
11980047	7筒	47
11980048	8筒	48
11980049	9筒	49
11980051	1万	51
11980052	2万	52
11980053	3万	53
11980054	4万	54
11980055	5万	55
11980056	6万	56
11980057	7万	57
11980058	8万	58
11980059	9万	59
