INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
星级	60级以下装备需求宝石	60级以上装备需求宝石	其它需求宝石	1颗宝石	2颗宝石	3颗宝石	4颗宝石	失败惩罚	所需金钱	强化比例
1	11000003	11000004	-1	25	50	75	100	0	1	20
2	11000003	11000004	-1	25	50	75	100	1	2	40
3	11000003	11000004	-1	25	50	75	100	1	3	60
4	11000003	11000004	-1	25	50	75	100	1	4	80
5	11000003	11000004	-1	25	50	75	100	1	5	100
6	11000003	11000004	-1	25	50	75	100	3	6	120
7	11000003	11000004	-1	20	40	60	80	4	7	170
8	11000003	11000004	-1	20	40	60	80	5	8	220
9	11000003	11000004	-1	15	30	45	60	8	9	270
10	11000003	11000004	-1	15	30	45	60	9	10	320
11	11000003	11000004	-1	25	50	75	100	10	11	340
12	11000003	11000004	-1	25	50	75	100	11	12	360
13	11000003	11000004	-1	25	50	75	100	12	13	390
14	11000003	11000004	-1	25	50	75	100	13	14	410
15	11000003	11000004	-1	25	50	75	100	14	15	475
