INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
配方号	产品ID	配方名称	产品数量	材料类1	材料数量1	材料最低等级1	拆解损耗比例1	材料类2	材料数量2	材料最低等级2	拆解损耗比例2	材料类3	材料数量3	材料最低等级3	拆解损耗比例3	材料类4	材料数量4	材料最低等级4	拆解损耗比例4	改造1材料类	改造1材料数量	改造1材料最低等级	改造2材料类	改造2材料数量	改造2材料最低等级	改造3材料类	改造3材料数量	改造3材料最低等级	操作时间	脚本ID	打造消耗金钱	改造消耗金钱	是否需要找NPC制造 1需要 0不需要
1	10031001	新手棒配方	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	0
2	10032201	近防弓配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
3	10032202	近防弓配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
4	10032203	近防弓配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
5	10032204	近防弓配方4	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
6	10032205	近防弓配方5	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
7	10032206	近防弓配方6	1	1	2	2	50	2	2	2	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
8	10032207	近防弓配方7	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
9	10032208	近防弓配方8	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
10	10032209	近防弓配方9	1	1	2	3	50	2	2	3	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
11	10032210	近防弓配方10	1	1	2	4	50	2	2	4	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
12	10040201	火枪配方1	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
13	10040202	火枪配方2	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
14	10040203	火枪配方3	1	1	2	1	50	2	2	1	50	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	1	-1	-1	-1	-1	-1	1000	1000	1
