INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
组合ID(1为屁胡；其余编号越小，优先级越高)	组合名	需求组合ID1	需求组合ID2	需求组合ID3	需求组合ID4	需求组合ID5（将）	强化属性ID1	强化数值1	强化属性ID2	强化数值2	强化属性ID3	强化数值3	强化属性ID4	强化数值4	特效
1	屁胡	-1	-1	-1	-1	-1	0	50	-1	-1	-1	-1	-1	-1	
109	大四喜	109	110	111	112	11	149	10	97	100	-1	-1	-1	-1	
110	小四喜	99	99	99	-1	97	149	6	97	100	-1	-1	-1	-1	
111	大三元	113	114	115	10	11	149	10	97	100	-1	-1	-1	-1	
112	小三元	98	98	-1	-1	96	149	6	97	100	-1	-1	-1	-1	
113	四暗刻	10	10	10	10	11	9	10	-1	-1	-1	-1	-1	-1	
114	三暗刻	10	10	10	-1	11	9	6	-1	-1	-1	-1	-1	-1	
115	双暗刻	10	10	-1	-1	11	9	4	-1	-1	-1	-1	-1	-1	
116	条一色双龙会	100	100	102	102	93	97	100	-1	-1	-1	-1	-1	-1	
117	筒一色双龙会	103	103	105	105	94	97	100	-1	-1	-1	-1	-1	-1	
118	万一色双龙会	106	106	108	108	95	97	100	-1	-1	-1	-1	-1	-1	
201	条字一条龙	100	101	102	-1	11	97	100	-1	-1	-1	-1	-1	-1	
301	筒字一条龙	103	104	105	-1	11	97	100	-1	-1	-1	-1	-1	-1	
401	万字一条龙	106	107	108	-1	11	97	100	-1	-1	-1	-1	-1	-1	
