INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
index	class	type	Medindex	资源	name	说明文字	等级	基本价格	出售价格	适应规则	叠放数量	脚本编号	技能编号	需求技能	需求技能等级	最大持有数量	选择对象类型	是否广播	类型描述
13010001	13	1	1	WXSJ_quest_shizijia_1_3	武士证书的宪章	只有优秀的武士才有资格佩戴这个宪章	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010002	13	1	2	WXSJ_quest_shizijia_1_3	水囊	沙漠中最珍贵的东西	1	0	0	4	15	-1	-1	-1	-1	10	4	-1	任务道具
13010003	13	1	3	WXSJ_quest_shizijia_1_3	成吉思汗的信	很重要	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010004	13	1	4	WXSJ_quest_shizijia_1_3	干瘪的水囊	水已经被喝光了	1	0	0	6	5	400000	58	0	-1	5	4	-1	任务道具
13010005	13	1	5	WXSJ_quest_shizijia_1_3	盛满的水囊	装满了清凉的湖水	1	0	0	4	5	-1	-1	-1	-1	5	4	-1	任务道具
13010006	13	1	6	WXSJ_quest_shizijia_1_3	重要的信	交给速不台将军！	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010007	13	1	7	WXSJ_quest_shizijia_1_3	烟花	突围的信号	1	0	0	6	1	400001	58	0	1	1	4	-1	任务道具
13010008	13	1	8	WXSJ_quest_shizijia_1_3	盗贼头目的头颅	还滴着血。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010009	13	1	9	WXSJ_quest_shizijia_1_3	大汗的告示	旁人勿拆	1	0	0	6	1	400002	58	0	-1	1	4	-1	任务道具
13010010	13	1	10	WXSJ_quest_shizijia_1_3	扎兰丁的宝箱	沉甸甸的，不知道装些什么。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010011	13	1	11	WXSJ_quest_shizijia_1_3	花剌子模的战旗	被砍了下来。	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010012	13	1	12	WXSJ_quest_shizijia_1_3	金兵的鼻子	战场上消灭敌人的证明	1	0	0	4	15	-1	-1	-1	-1	15	4	-1	任务道具
13010013	13	1	13	WXSJ_quest_shizijia_1_3	当归	一种中药	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010014	13	1	14	WXSJ_quest_shizijia_1_3	帖木儿灭里的头	我们更需要它	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010015	13	1	15	WXSJ_quest_shizijia_1_3	速不台的烟花	进攻的信号。	1	0	0	6	1	400003	58	0	1	1	4	-1	任务道具
13010016	13	1	16	WXSJ_quest_shizijia_1_3	墨锭	很稀有！	1	0	0	4	10	-1	-1	-1	-1	10	4	-1	任务道具
13010017	13	1	17	WXSJ_quest_shizijia_1_3	郭靖的秘药	一包白色粉末	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010018	13	1	18	WXSJ_quest_shizijia_1_3	药酒葫芦	一个酒葫芦	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
13010019	13	1	19	WXSJ_quest_shizijia_1_3	黄金侍卫的盔甲	金色的铠甲闪闪发亮	1	0	0	4	1	-1	-1	-1	-1	1	4	-1	任务道具
