INT	INT	STRING	INT	INT	INT	INT	INT	STRING
Index	地图SceneId	PosName	X坐标	Z坐标	SceneType	MapLevel	EnterLevel	拼音索引
0	0	南湖野外01	100	93	4	1	1	n
1	1	新手村1	100	100	4	1	1	x
2	2	新手村2	100	100	4	1	1	x
3	3	杨柳村	100	100	4	1	1	x
4	4	桃花岛	100	100	4	1	1	t
5	5	副本_01	80	50	4	1	1	f
6	6	副本_02	100	100	4	1	1	f
7	7	占位可替换	250	250	4	1	1	s
8	8	占位可替换	100	93	4	1	1	n
9	9	苏州	250	250	4	1	1	s
10	10	南湖野外	100	93	4	1	1	n
11	11	牛家村	64	64	4	1	1	n
12	12	曼陀山庄	100	100	4	1	1	m
13	13	燕子坞	100	100	4	1	1	y
14	14	扬州	100	100	4	1	1	y
15	15	杭州	100	100	4	1	1	h
16	16	丐帮	100	100	4	1	1	g
17	17	嘉兴	100	100	4	1	1	j
