INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT
ID	频道名称	发送时间间隔（秒）	前导字符	"消耗类型1(MP:0,精力1,活力:2,不需要:-1)"	消耗数值1	消耗类型2	消耗数值2	消耗类型3	消耗数值3	等级限制
0	附近频道	3	当前	-1	0	-1	0	-1	0	0
1	队伍频道	1	队伍	-1	0	-1	0	-1	0	0
2	世界频道	150	世界	1	2	2	2	-1	0	10
3	私聊频道	1	私聊	-1	0	-1	0	-1	0	0
4	系统频道	15	系统	-1	0	-1	0	-1	0	0
5	家族频道	3	家族	-1	0	-1	0	-1	0	0
6	帮会频道	3	帮会	-1	0	-1	0	-1	0	0
7	国家频道	3	国家	-1	0	-1	0	-1	0	0
8	门派频道	4	门派	-1	0	-1	0	-1	0	0
9	自建频道	5	自建聊天频道	-1	0	-1	0	-1	0	0
10	场景频道	6	场景消息	-1	0	-1	0	-1	0	0
11	客户频道	7	仅客户端使用的消息	-1	0	-1	0	-1	0	0
12	双人强制	8	双人强制	-1	0	-1	0	-1	0	0
13	双人邀请	9	双人邀请	-1	0	-1	0	-1	0	0
14	双人同意	10	双人同意	-1	0	-1	0	-1	0	0
15	双人拒绝	11	双人拒绝	-1	0	-1	0	-1	0	0
16	双人拒绝	11	双人拒绝	-1	0	-1	0	-1	0	0
17	双人拒绝	11	双人拒绝	-1	0	-1	0	-1	0	0
