INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING
index	class	type	Medindex	资源	name	说明文字	等级	基本价格	出售价格	适应规则	叠放数量	脚本编号	技能编号	需求技能	需求技能等级	最大持有数量	选择对象类型	是否广播	类型描述	掉落时的外形	掉落模型附加的特效	掉落的声音	物品名称的颜色
11000001	11	0	1	daxingbaoshi_01	微瑕灵透道具	可在打孔功能NPC处，将装备进行打孔处理	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	打孔宝石	掉落木头.obj	cj_yingguang_huang	0	ffffff
11000002	11	0	2	daxingbaoshi_01	晶莹灵透道具	可在打孔功能NPC处，将装备进行打孔处理	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	打孔宝石	掉落木头.obj	cj_yingguang_huang	0	ffffff
11000003	11	0	3	daxingbaoshi_01	微瑕流星道具	可在打星功能NPC处，将装备进行打星处理	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	升星宝石	掉落木头.obj	cj_yingguang_huang	0	ffffff
11000004	11	0	4	daxingbaoshi_01	晶莹流星道具	可在打星功能NPC处，将装备进行打星处理	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	升星宝石	掉落木头.obj	cj_yingguang_huang	0	ffffff
11000005	11	0	5	daxingbaoshi_01	锁玲珑	可以对装备进行绑定	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	绑定道具	掉落木头.obj	cj_yingguang_huang	0	ffffff
11000006	11	0	6	daxingbaoshi_01	微瑕金刚道具	可以修理装备的耐久度	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	修理耐久	掉落木头.obj	cj_yingguang_huang	0	ffffff
11000007	11	0	7	daxingbaoshi_01	晶莹金刚道具	可以修理装备的耐久度	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	修理耐久	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010001	11	1	1	daxingbaoshi_01	微瑕补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010002	11	1	2	daxingbaoshi_01	晶莹补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010003	11	1	3	daxingbaoshi_01	璀璨补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010004	11	1	4	daxingbaoshi_01	流光补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010005	11	1	5	daxingbaoshi_01	异彩补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010006	11	1	6	daxingbaoshi_01	通灵补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010007	11	1	7	daxingbaoshi_01	幻化补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010008	11	1	8	daxingbaoshi_01	血色补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010009	11	1	9	daxingbaoshi_01	魂魄补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010010	11	1	10	daxingbaoshi_01	涕血补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010011	11	1	11	daxingbaoshi_01	梦魂补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11010012	11	1	12	daxingbaoshi_01	龙泣补天道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020001	11	2	1	daxingbaoshi_01	微瑕烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020002	11	2	2	daxingbaoshi_01	晶莹烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020003	11	2	3	daxingbaoshi_01	璀璨烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020004	11	2	4	daxingbaoshi_01	流光烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
11020005	11	2	5	daxingbaoshi_01	异彩烈炎道具	用来合成装备的材料	1	1	1	5	20	-1	-1	-1	-1	-1	4	0	合成装备	掉落木头.obj	cj_yingguang_huang	0	ffffff
