INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
序号	class(基本类型)	Type(类别)	Index(物品号0~1000随机，1001~1999白装，2001~2999打造装备，3001~3999荣誉装备，4001~4999声望装备，6000~6999任务装备，7000~7001套装)	EquipPoint(装备点)	适应规则	套装ID	Lv(需求等级)	基本价格	Max耐久	星级	天然孔数目	最大孔数目	职业需求	装备牌型	装备分	基础远程内功攻击	基础远程外功攻击	基础近程内功攻击	基础近程外功攻击	基础远程内功防御	基础远程外功防御	基础近程内功防御	基础近程外功防御	影响属性ID1	影响数值1	影响属性ID2	影响数值2	影响属性ID3	影响数值3	影响属性ID4	影响数值4	影响属性ID5	影响数值5	影响属性ID6	影响数值6	影响属性ID7	影响数值7	影响属性ID8	影响数值8	影响属性ID9	影响数值9	影响属性ID10	影响数值10	影响属性ID11	影响数值11	影响属性ID12	影响数值12	影响属性ID13	影响数值13	影响属性ID14	影响数值14	影响属性ID15	影响数值15	影响属性ID16	影响数值16	附加技能ID1	附加技能等级	附加技能ID2	附加技能等级	附加技能ID3	附加技能等级	附加技能ID4	附加技能等级	附加属性ID1	影响技能ID1	影响技能等级	影响技能ID2	影响技能等级	影响技能ID3	影响技能等级	影响技能ID4	影响技能等级
####	以下是	少林武器	棍																																																																					
10011001	10	1	1001	0	2	-1	1	10	100	0	0	7	0	-1	0	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10011002	10	1	1002	0	2	-1	20	20	200	0	0	7	0	-1	0	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10011003	10	1	1003	0	2	-1	30	30	300	0	0	7	0	-1	0	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
####	以下是	少林副手	缠手																																																																					
####	10	2																																																																						
####	以下是	丐帮武器	棒																																																																					
10031001	10	3	1001	0	2	-1	1	10	100	0	0	7	16	-1	0	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10031002	10	3	1002	0	2	-1	20	20	200	0	0	7	16	-1	0	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10031003	10	3	1003	0	2	-1	30	30	300	0	0	7	16	-1	0	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10031004	10	3	1004	0	2	-1	40	40	400	0	0	7	16	-1	0	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10031005	10	3	1005	0	2	-1	50	50	500	0	0	7	16	-1	0	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10031006	10	3	1006	0	2	-1	60	60	600	0	0	7	16	-1	0	-1	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
####	以下是	丐帮副手	掌套																																																																					
####	10	4																																																																						
####	以下是	武当武器	剑																																																																					
