INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
套装编号	套装名字	套装数量	套装id  list	套装属性1	属性数值1	激活属性需要套装数目1	套装属性2	属性数值2	激活属性需要套装数目2	套装属性3	属性数值3	激活属性需要套装数目3	套装属性4	属性数值4	激活属性需要套装数目4
1	测试套装	2	10010000|10070000	0	10	2	-1	-1	2	-1	-1	2	-1	-1	2
2	荣誉卫士	5	10207001|10227001|10237001|10257001|10277001	8	15	5	-1	-1	5	-1	-1	5	-1	-1	5
10	武士荣誉套1	7	10013001|10073001|10203001|10223001|10233001|10253001|10273001	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
11	武士荣誉套2	7	10013002|10073002|10203002|10223002|10233002|10253002|10273002	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
12	武士荣誉套3	7	10013003|10073003|10203003|10223003|10233003|10253003|10273003	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
20	剑侠荣誉套1	7	10023001|10083001|10203011|10223011|10233011|10253011|10273011	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
21	剑侠荣誉套2	7	10023002|10083002|10203012|10223012|10233012|10253012|10273012	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
22	剑侠荣誉套3	7	10023003|10083003|10203013|10223013|10233013|10253013|10273013	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
30	骑射荣誉套1	7	10033001|10093001|10203021|10223021|10233021|10253021|10273021	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
31	骑射荣誉套2	7	10033002|10093002|10203022|10223022|10233022|10253022|10273022	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
32	骑射荣誉套3	7	10033003|10093003|10203023|10223023|10233023|10253023|10273023	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
40	火枪荣誉套1	7	10043001|10103001|10203031|10223031|10233031|10253031|10273031	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
41	火枪荣誉套2	7	10043002|10103002|10203032|10223032|10233032|10253032|10273032	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
42	火枪荣誉套3	7	10043003|10103003|10203033|10223033|10233033|10253033|10273033	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
50	先知荣誉套1	7	10053001|10113001|10203041|10223041|10233041|10253041|10273041	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
51	先知荣誉套2	7	10053002|10113002|10203042|10223042|10233042|10253042|10273042	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
52	先知荣誉套3	7	10053003|10113003|10203043|10223043|10233043|10253043|10273043	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
60	萨满荣誉套1	7	10063001|10123001|10203051|10223051|10233051|10253051|10273051	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
61	萨满荣誉套2	7	10063002|10123002|10203052|10223052|10233052|10253052|10273052	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
62	萨满荣誉套3	7	10063003|10123003|10203053|10223053|10233053|10253053|10273053	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
100	武士声望套1	7	10014001|10074001|10204001|10224001|10234001|10254001|10274001	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
101	武士声望套2	7	10014002|10074002|10204002|10224002|10234002|10254002|10274002	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
102	武士声望套3	7	10014003|10074003|10204003|10224003|10234003|10254003|10274003	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
110	剑侠声望套1	7	10024001|10084001|10204011|10224011|10234011|10254011|10274011	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
111	剑侠声望套2	7	10024002|10084002|10204012|10224012|10234012|10254012|10274012	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
112	剑侠声望套3	7	10024003|10084003|10204013|10224013|10234013|10254013|10274013	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
120	骑射声望套1	7	10034001|10094001|10204021|10224021|10234021|10254021|10274021	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
121	骑射声望套2	7	10034002|10094002|10204022|10224022|10234022|10254022|10274022	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
122	骑射声望套3	7	10034003|10094003|10204023|10224023|10234023|10254023|10274023	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
130	火枪声望套1	7	10044001|10104001|10204031|10224031|10234031|10254031|10274031	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
131	火枪声望套2	7	10044002|10104002|10204032|10224032|10234032|10254032|10274032	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
132	火枪声望套3	7	10044003|10104003|10204033|10224033|10234033|10254033|10274033	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
140	先知声望套1	7	10054001|10114001|10204041|10224041|10234041|10254041|10274041	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
141	先知声望套2	7	10054002|10114002|10204042|10224042|10234042|10254042|10274042	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
142	先知声望套3	7	10054003|10114003|10204043|10224043|10234043|10254043|10274043	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
150	萨满声望套1	7	10064001|10124001|10204051|10224051|10234051|10254051|10274051	8	15	7	-1	-1	7	-1	-1	7	-1	-1	7
151	萨满声望套2	7	10064002|10124002|10204052|10224052|10234052|10254052|10274052	8	35	7	-1	-1	7	-1	-1	7	-1	-1	7
152	萨满声望套3	7	10064003|10124003|10204053|10224053|10234053|10254053|10274053	8	55	7	-1	-1	7	-1	-1	7	-1	-1	7
