INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
妀傑ID	耋撿ID	耋撿鏡扴	歎跡	岆瘁扽衾陔こ奻庈	岆瘁扽衾��闖妀こ	岆瘁扽衾湖殏棻种	湖殏棻种掀瞰	岆瘁扽衾唾昜妀と	岆瘁扽衾蚾掘妀と	岆瘁扽衾狻こ妀と	岆瘁扽衾祑扲妀と	岆瘁扽衾軘磁妀と
1	12010001	議議	100	1	0	0	-1	0	0	0	0	0
2	12010002	議議	200	0	1	0	-1	0	0	0	0	0
3	12010003	議議	300	0	0	1	50	0	0	0	0	0
4	12010004	議議	400	0	0	0	-1	1	0	0	0	0
5	12010005	議議	500	0	0	0	-1	0	1	0	0	0
6	12010006	議議	600	0	0	0	-1	0	0	1	0	0
7	12010007	議議	700	0	0	0	-1	0	0	0	1	0
8	12010008	議議	800	0	0	0	-1	0	0	0	0	1
9	12010009	議議	900	1	0	0	-1	1	0	0	0	0
10	12010010	議議	1000	1	0	0	-1	0	1	0	0	0
11	12020001	議議	1100	1	0	0	-1	0	0	1	0	0
12	12020002	議議	1200	1	0	0	-1	0	0	0	1	0
13	12020003	議議	1300	1	0	0	-1	0	0	0	0	1
14	12020004	議議	1400	0	1	0	-1	1	0	0	0	0
15	12020005	議議	1500	0	1	0	-1	0	1	0	0	0
16	12020006	議議	1600	0	1	0	-1	0	0	1	0	0
17	12020007	議議	1700	0	1	0	-1	0	0	0	1	0
18	12020008	議議	1800	0	1	0	-1	0	0	0	0	1
19	12020009	議議	1900	0	0	1	60	1	0	0	0	0
20	12020010	議議	2000	0	0	1	70	0	1	0	0	0
21	11990001	議議	2100	0	0	1	80	0	0	1	0	0
22	11990002	議議	2200	0	0	1	40	0	0	0	1	0
23	11990003	議議	2300	0	0	1	10	0	0	0	0	1
