INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING
ID	分类 ID（互斥用）	PRI优先级	最大累积层数z	图标文件名	触发特效ID	触发特效的音效ID	触发特效的绑定点	持续性特效ID	持续特效的音效ID	持续性特效的绑定点	死后是否保留	是否可以被技能驱散	是否是负面效果	是否可以被手动取消	是否旋转	是否为线性特效	线性特效的绑定点	效果说明
1	1		1	Ability_Food_216			身体受击点			身体受击点	0	1	0	1	0	0	0	长生诀：回复50%生命同时耐力提高50%
2	2		1	Ability_Food_217			身体受击点			身体受击点	0	1	0	1				圣灵之佑：所有伤害减免75%
3	3		1	Ability_Food_218			身体受击点			身体受击点	0	1	0	1				狂放：爆击提高75%
4	4		1	Ability_Food_219			身体受击点			身体受击点	0	1	0	1				千机变：闪避降低20%，暴击率提高10%
5	5		1	Ability_Food_220			身体受击点			身体受击点	0	1	0	1				力量怒吼：力量提高10%
6	6		1	Ability_Food_221			身体受击点			身体受击点	0	1	0	1				狮吼：防御提高100点
########	########	########	########	########														
########	特殊状态	101---200		########														
########	########	########	########	########														
101	101		1	WXSJ_skill_changyongzhuangtai_1_1				cyzt_chenmo_01		脚部绑定点	0	1	0	1	0	0	0	沉默
102	102		1	WXSJ_skill_changyongzhuangtai_1_2				cyzt_dingshen_01		脚部绑定点	0	1	0	1	0	0	0	定身
103	103		1	WXSJ_skill_changyongzhuangtai_1_3						脚部绑定点	0	1	0	1	0	0	0	无敌
104	104		1	WXSJ_skill_changyongzhuangtai_1_4				cyzt_jiansu_01		脚部绑定点	0	1	0	1	0	0	0	减速
105	105		1	WXSJ_skill_changyongzhuangtai_1_5						脚部绑定点	0	1	0	1	0	0	0	隐身
106	106		1	WXSJ_skill_changyongzhuangtai_1_6						脚部绑定点	0	1	0	1	0	0	0	反隐
107	107		1	WXSJ_skill_changyongzhuangtai_1_7				cyzt_xuanyun_01		脚部绑定点	0	1	0	1	0	0	0	眩晕
108	108		1	WXSJ_skill_changyongzhuangtai_1_8				cyzt_kongju_01		脚部绑定点	0	1	0	1	0	0	0	恐惧
109	109		1	WXSJ_skill_changyongzhuangtai_1_9						脚部绑定点	0	1	0	1	0	0	0	沉睡
																		
																		
																		
																		
########	########	########	########	########														
########	武僧技能	20001---21000		########														
########	########	########	########	########														
																		
########	技能101	########	20001---20050		########	########												
20001	20001		1															
20002	20002		1															
20003	20003		1															
20004	20004		1															
20005	20005		1															
########	########	########	########	########	########	########												
																		
########	技能102	########	20051---20100		########	########												
20051	20051		1															
20052	20052		1															
20053	20053		1															
20054	20054		1															
20055	20055		1															
########	########	########	########	########	########	########												
																		
########	技能103	########	20101---20150		########	########												
20101	20101		1															
20102	20102		1															
20103	20103		1															
20104	20104		1															
20105	20105		1															
########	########	########	########	########	########	########												
																		
########	技能104	########	20151---20200		########	########												
20151	20151		1															
20152	20152		1															
20153	20153		1															
20154	20154		1															
20155	20155		1															
20156	20156		1															
20157	20157		1															
20158	20158		1															
20159	20159		1															
20160	20160		1															
########	########	########	########	########	########	########												
																		
########	技能105	########	20201---20250		########	########												
20201	20201		1															
20202	20202		1															
20203	20203		1															
20204	20204		1															
20205	20205		1															
########	########	########	########	########	########	########												
																		
########	技能106	########	20251---20300		########	########												
20251	20251		1															
20252	20252		1															
20253	20253		1															
20254	20254		1															
20255	20255		1															
########	########	########	########	########	########	########												
																		
########	技能107	########	20301---20350		########	########												
20301	20301		1															
20302	20302		1															
20303	20303		1															
20304	20304		1															
20305	20305		1															
########	########	########	########	########	########	########												
																		
########	技能108	########	20351---20400		########	########												
20351	20351		1															
20352	20352		1															
20353	20353		1															
20354	20354		1															
20355	20355		1															
20356	20356		1															
20357	20357		1															
20358	20358		1															
20359	20359		1															
20360	20360		1															
########	########	########	########	########	########	########												
																		
########	技能109	########	20401---20450		########	########												
20401	20401		1															
20402	20402		1															
20403	20403		1															
20404	20404		1															
20405	20405		1															
########	########	########	########	########	########	########												
																		
########	技能110	########	20451---20500		########	########												
20451	20451		1															
20452	20452		1															
20453	20453		1															
20454	20454		1															
20455	20455		1															
########	########	########	########	########	########	########												
																		
########	技能111	########	20501---20550		########	########												
20501	20501		1															
20502	20502		1															
20503	20503		1															
20504	20504		1															
20505	20505		1															
20506	20506		1															
20507	20507		1															
20508	20508		1															
20509	20509		1															
20510	20510		1															
########	########	########	########	########	########	########												
																		
########	技能112	########	20551---20600		########	########												
20551	20551		1															
20552	20552		1															
20553	20553		1															
20554	20554		1															
20555	20555		1															
########	########	########	########	########	########	########												
																		
########	技能113	########	20601---20650		########	########												
20601	20601		1															
20602	20602		1															
20603	20603		1															
20604	20604		1															
20605	20605		1															
########	########	########	########	########	########	########												
																		
########	技能114	########	20651---20700		########	########												
20651	20651		1															
20652	20652		1															
20653	20653		1															
20654	20654		1															
20655	20655		1															
########	########	########	########	########	########	########												
																		
########	技能115	########	20701---20750		########	########												
20701	20701		1															
20702	20702		1															
20703	20703		1															
20704	20704		1															
20705	20705		1															
########	########	########	########	########	########	########												
																		
########	技能116	########	20751---20800		########	########												
20751	20751		1															
20752	20752		1															
20753	20753		1															
20754	20754		1															
20755	20755		1															
########	########	########	########	########	########	########												
																		
########	技能117	########	20801---20850		########	########												
20801	20801		1															
20802	20802		1															
20803	20803		1															
20804	20804		1															
20805	20805		1															
########	########	########	########	########	########	########												
																		
########	技能118	########	20851---20900		########	########												
20851	20851		1															
20852	20852		1															
20853	20853		1															
20854	20854		1															
20855	20855		1															
########	########	########	########	########	########	########												
																		
########	技能119	########	20901---20950		########	########												
20901	20901		1															
20902	20902		1															
20903	20903		1															
20904	20904		1															
20905	20905		1															
########	########	########	########	########	########	########												
																		
########	技能120	########	20951---21000		########	########												
20951	20951		1															
20952	20952		1															
20953	20953		1															
20954	20954		1															
20955	20955		1															
20956	20956		1															
20957	20957		1															
20958	20958		1															
20959	20959		1															
20960	20960		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	罗汉技能	21001---22000		########														
########	########	########	########	########														
																		
########	技能201	########	21001---21050		########	########												
21001	21001		1															
21002	21002		1															
21003	21003		1															
21004	21004		1															
21005	21005		1															
########	########	########	########	########	########	########												
																		
########	技能202	########	21051---21100		########	########												
21051	21051		1															
21052	21052		1															
21053	21053		1															
21054	21054		1															
21055	21055		1															
########	########	########	########	########	########	########												
																		
########	技能203	########	21101---21150		########	########												
21101	21101		1															
21102	21102		1															
21103	21103		1															
21104	21104		1															
21105	21105		1															
########	########	########	########	########	########	########												
																		
########	技能204	########	21151---21200		########	########												
21151	21151		1															
21152	21152		1															
21153	21153		1															
21154	21154		1															
21155	21155		1															
21156	21156		1															
21157	21157		1															
21158	21158		1															
21159	21159		1															
21160	21160		1															
########	########	########	########	########	########	########												
																		
########	技能205	########	21201---21250		########	########												
21201	21201		1															
21202	21202		1															
21203	21203		1															
21204	21204		1															
21205	21205		1															
########	########	########	########	########	########	########												
																		
########	技能206	########	21251---21300		########	########												
21251	21251		1															
21252	21252		1															
21253	21253		1															
21254	21254		1															
21255	21255		1															
########	########	########	########	########	########	########												
																		
########	技能207	########	21301---21350		########	########												
21301	21301		1															
21302	21302		1															
21303	21303		1															
21304	21304		1															
21305	21305		1															
########	########	########	########	########	########	########												
																		
########	技能208	########	21351---21400		########	########												
21351	21351		1															
21352	21352		1															
21353	21353		1															
21354	21354		1															
21355	21355		1															
########	########	########	########	########	########	########												
																		
########	技能209	########	21401---21450		########	########												
21401	21401		1															
21402	21402		1															
21403	21403		1															
21404	21404		1															
21405	21405		1															
########	########	########	########	########	########	########												
																		
########	技能210	########	21451---21500		########	########												
21451	21451		1															
21452	21452		1															
21453	21453		1															
21454	21454		1															
21455	21455		1															
########	########	########	########	########	########	########												
																		
########	技能211	########	21501---21550		########	########												
21501	21501		1															
21502	21502		1															
21503	21503		1															
21504	21504		1															
21505	21505		1															
########	########	########	########	########	########	########												
																		
########	技能212	########	21551---21600		########	########												
21551	21551		1															
21552	21552		1															
21553	21553		1															
21554	21554		1															
21555	21555		1															
########	########	########	########	########	########	########												
																		
########	技能213	########	21601---21650		########	########												
21601	21601		1															
21602	21602		1															
21603	21603		1															
21604	21604		1															
21605	21605		1															
########	########	########	########	########	########	########												
																		
########	技能214	########	21651---21700		########	########												
21651	21651		1															
21652	21652		1															
21653	21653		1															
21654	21654		1															
21655	21655		1															
########	########	########	########	########	########	########												
																		
########	技能215	########	21701---21750		########	########												
21701	21701		1															
21702	21702		1															
21703	21703		1															
21704	21704		1															
21705	21705		1															
21706	21706		1															
21707	21707		1															
21708	21708		1															
21709	21709		1															
21710	21710		1															
########	########	########	########	########	########	########												
																		
########	技能216	########	21751---21800		########	########												
21751	21751		1															
21752	21752		1															
21753	21753		1															
21754	21754		1															
21755	21755		1															
########	########	########	########	########	########	########												
																		
########	技能217	########	21801---21850		########	########												
21801	21801		1															
21802	21802		1															
21803	21803		1															
21804	21804		1															
21805	21805		1															
21806	21806		1															
21807	21807		1															
21808	21808		1															
21809	21809		1															
21810	21810		1															
########	########	########	########	########	########	########												
																		
########	技能218	########	21851---21900		########	########												
21851	21851		1	WXSJ_skill_luohan_2_2							0	1	1	0				
21852	21852		1	WXSJ_skill_luohan_2_2							0	1	1	0				
21853	21853		1	WXSJ_skill_luohan_2_2							0	1	1	0				
21854	21854		1	WXSJ_skill_luohan_2_2							0	1	1	0				
21855	21855		1	WXSJ_skill_luohan_2_2							0	1	1	0				
########	########	########	########	########	########	########												
																		
########	技能219	########	21901---21950		########	########												
21901	21901		1															
21902	21902		1															
21903	21903		1															
21904	21904		1															
21905	21905		1															
########	########	########	########	########	########	########												
																		
########	技能220	########	21951---22000		########	########												
21951	21951		1															
21952	21952		1															
21953	21953		1															
21954	21954		1															
21955	21955		1															
########	########	########	########	########	########	########												
																		
########	########	########	########	########														
########	棒丐技能	22001---23000		########														
########	########	########	########	########														
																		
########	技能301	########	22001---22050		########	########												
22001	22001		1															
22002	22002		1															
22003	22003		1															
22004	22004		1															
22005	22005		1															
########	########	########	########	########	########	########												
																		
########	技能302	########	22051---22100		########	########												
22051	22051		1															
22052	22052		1															
22053	22053		1															
22054	22054		1															
22055	22055		1															
########	########	########	########	########	########	########												
																		
########	技能303	########	22101---22150		########	########												
22101	22101		1															
22102	22102		1															
22103	22103		1															
22104	22104		1															
22105	22105		1															
########	########	########	########	########	########	########												
																		
########	技能304	########	22151---22200		########	########												
22151	22151		1															
22152	22152		1															
22153	22153		1															
22154	22154		1															
22155	22155		1															
22156	22156		1	WXSJ_skill_banggaibang_1_4	sj_bawangxiejia_01		身体中心点				0	1	0	1	0	0	0	
22157	22157		1	WXSJ_skill_banggaibang_1_4	sj_bawangxiejia_01		身体中心点				0	1	0	1	0	0	0	
22158	22158		1	WXSJ_skill_banggaibang_1_4	sj_bawangxiejia_01		身体中心点				0	1	0	1	0	0	0	
22159	22159		1	WXSJ_skill_banggaibang_1_4	sj_bawangxiejia_01		身体中心点				0	1	0	1	0	0	0	
22160	22160		1	WXSJ_skill_banggaibang_1_4	sj_bawangxiejia_01		身体中心点				0	1	0	1	0	0	0	
########	########	########	########	########	########	########												
																		
########	技能305	########	22201---22250		########	########												
22201	22201		1															
22202	22202		1															
22203	22203		1															
22204	22204		1															
22205	22205		1															
########	########	########	########	########	########	########												
																		
########	技能306	########	22251---22300		########	########												
22251	22251		1															
22252	22252		1															
22253	22253		1															
22254	22254		1															
22255	22255		1															
########	########	########	########	########	########	########												
																		
########	技能307	########	22301---22350		########	########												
22301	22301		1															
22302	22302		1															
22303	22303		1															
22304	22304		1															
22305	22305		1															
########	########	########	########	########	########	########												
																		
########	技能308	########	22351---22400		########	########												
22351	22351		1															
22352	22352		1															
22353	22353		1															
22354	22354		1															
22355	22355		1															
22356	22356		1															
22357	22357		1															
22358	22358		1															
22359	22359		1															
22360	22360		1															
22361	22361		1	WXSJ_skill_banggaibang_1_8	sj_bawangxiejia_01		身体中心点				0	1	0	1	0	0	0	
22362	22362		1	WXSJ_skill_banggaibang_1_8	sj_bawangxiejia_01		身体中心点				0	1	0	1	0	0	0	
22363	22363		1	WXSJ_skill_banggaibang_1_8	sj_bawangxiejia_01		身体中心点				0	1	0	1	0	0	0	
22364	22364		1	WXSJ_skill_banggaibang_1_8	sj_bawangxiejia_01		身体中心点				0	1	0	1	0	0	0	
22365	22365		1	WXSJ_skill_banggaibang_1_8	sj_bawangxiejia_01		身体中心点				0	1	0	1	0	0	0	
########	########	########	########	########	########	########												
																		
########	技能309	########	22401---22450		########	########												
22401	22401		1	WXSJ_skill_banggaibang_1_9	sf_panruowuren_01		脚部绑定点			身体受击点	0	1	1	0				
22402	22402		1	WXSJ_skill_banggaibang_1_9	sf_panruowuren_01		脚部绑定点			身体受击点	0	1	1	0				
22403	22403		1	WXSJ_skill_banggaibang_1_9	sf_panruowuren_01		脚部绑定点			身体受击点	0	1	1	0				
22404	22404		1	WXSJ_skill_banggaibang_1_9	sf_panruowuren_01		脚部绑定点			身体受击点	0	1	1	0				
22405	22405		1	WXSJ_skill_banggaibang_1_9	sf_panruowuren_01		脚部绑定点			身体受击点	0	1	1	0				
########	########	########	########	########	########	########												
																		
########	技能310	########	22451---22500		########	########												
22451	22451		1	WXSJ_skill_banggaibang_1_10			身体受击点				0	1	1	0				
22452	22452		1	WXSJ_skill_banggaibang_1_10			身体受击点				0	1	1	0				
22453	22453		1	WXSJ_skill_banggaibang_1_10			身体受击点				0	1	1	0				
22454	22454		1	WXSJ_skill_banggaibang_1_10			身体受击点				0	1	1	0				
22455	22455		1	WXSJ_skill_banggaibang_1_10			身体受击点				0	1	1	0				
########	########	########	########	########	########	########												
																		
########	技能311	########	22501---22550		########	########												
22501	22501		1	WXSJ_skill_banggaibang_1_11			身体受击点		bj_qunqigongzhi_01	身体受击点	0	1	1	0				
22502	22502		1	WXSJ_skill_banggaibang_1_11			身体受击点		bj_qunqigongzhi_01	身体受击点	0	1	1	0				
22503	22503		1	WXSJ_skill_banggaibang_1_11			身体受击点		bj_qunqigongzhi_01	身体受击点	0	1	1	0				
22504	22504		1	WXSJ_skill_banggaibang_1_11			身体受击点		bj_qunqigongzhi_01	身体受击点	0	1	1	0				
22505	22505		1	WXSJ_skill_banggaibang_1_11			身体受击点		bj_qunqigongzhi_01	身体受击点	0	1	1	0				
########	########	########	########	########	########	########												
																		
########	技能312	########	22551---22600		########	########												
22551	22551		1															
22552	22552		1															
22553	22553		1															
22554	22554		1															
22555	22555		1															
########	########	########	########	########	########	########												
																		
########	技能313	########	22601---22650		########	########												
22601	22601		1	WXSJ_skill_banggaibang_1_13			身体中心点			身体受击点	0	1	1	0				
22602	22602		1	WXSJ_skill_banggaibang_1_13			身体中心点			身体受击点	0	1	1	0				
22603	22603		1	WXSJ_skill_banggaibang_1_13			身体中心点			身体受击点	0	1	1	0				
22604	22604		1	WXSJ_skill_banggaibang_1_13			身体中心点			身体受击点	0	1	1	0				
22605	22605		1	WXSJ_skill_banggaibang_1_13			身体中心点			身体受击点	0	1	1	0				
########	########	########	########	########	########	########												
																		
########	技能314	########	22651---22700		########	########												
22651	22651		1	WXSJ_skill_banggaibang_1_14	sj_guanmenfanggou_01		身体中心点			身体受击点	0	1	1	0				
22652	22652		1	WXSJ_skill_banggaibang_1_14	sj_guanmenfanggou_01		身体中心点			身体受击点	0	1	1	0				
22653	22653		1	WXSJ_skill_banggaibang_1_14	sj_guanmenfanggou_01		身体中心点			身体受击点	0	1	1	0				
22654	22654		1	WXSJ_skill_banggaibang_1_14	sj_guanmenfanggou_01		身体中心点			身体受击点	0	1	1	0				
22655	22655		1	WXSJ_skill_banggaibang_1_14	sj_guanmenfanggou_01		身体中心点			身体受击点	0	1	1	0				
########	########	########	########	########	########	########												
																		
########	技能315	########	22701---22750		########	########												
22701	22701		1															
22702	22702		1															
22703	22703		1															
22704	22704		1															
22705	22705		1															
22706	22706		1															
22707	22707		1															
22708	22708		1															
22709	22709		1															
22710	22710		1															
########	########	########	########	########	########	########												
																		
########	技能316	########	22751---22800		########	########												
22751	22751		1															
22752	22752		1															
22753	22753		1															
22754	22754		1															
22755	22755		1															
########	########	########	########	########	########	########												
																		
########	技能317	########	22801---22850		########	########												
22801	22801		1	WXSJ_skill_banggaibang_2_1	sf_panruowuren_01		身体中心点			身体中心点	0	1	1	1				
22802	22802		1	WXSJ_skill_banggaibang_2_1	sf_panruowuren_01		身体中心点			身体中心点	0	1	1	1				
22803	22803		1	WXSJ_skill_banggaibang_2_1	sf_panruowuren_01		身体中心点			身体中心点	0	1	1	1				
22804	22804		1	WXSJ_skill_banggaibang_2_1	sf_panruowuren_01		身体中心点			身体中心点	0	1	1	1				
22805	22805		1	WXSJ_skill_banggaibang_2_1	sf_panruowuren_01		身体中心点			身体中心点	0	1	1	1				
########	########	########	########	########	########	########												
																		
########	技能318	########	22851---22900		########	########												
22851	22851		1	WXSJ_skill_banggaibang_2_2			身体中心点			身体中心点	0	1	1	1				
