INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
index	规则名	重叠	丢弃	快捷	出售	交易	使用	拾取绑定	装备绑定	是否唯一	是否需要鉴定	是否是虚拟道具	是否可存入银行	是否消耗
1	普通装备（要鉴定）	0	1	0	1	1	1	0	1	0	1	0	1	0
2	普通装备（不鉴定）	0	1	0	1	1	1	0	1	0	0	0	1	0
3	普通物品	1	1	1	1	1	1	0	0	0	0	0	1	1
4	任务道具	1	1	0	0	0	0	1	0	0	0	0	0	0
5	材料	1	1	0	1	1	0	0	0	0	0	0	0	1
6	任务使用	1	1	1	0	0	1	1	0	0	0	0	1	1
7	扩展背包	0	0	0	1	1	1	0	1	0	0	0	1	0
8	宝石	0	1	0	1	1	0	0	0	0	0	0	0	1
9	宝箱	1	1	0	1	1	1	0	0	0	0	0	1	0
10	规则10	1	1	1	1	0	1	1	0	0	0	0	0	0
11	规则11	0	1	0	1	0	1	1	0	1	0	0	0	0
12	规则12	0	0	1	1	1	1	0	0	0	0	0	0	0
