INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
index	名称	ResultID	ResultNum	对应技能ID	技能等级需求（此列最低填1）	Stuff1ID	Stuff1num	Stuff2ID	Stuff2num	Stuff3ID	Stuff3num	Stuff4ID	Stuff4num	Stuff5ID	Stuff5num	活力需求	精力需求	门派贡献度需求	属性需求2数量	冷却时间(毫秒)	需求工具ID	冷却组ID	熟练度需求	增加熟练度	功能分组	操作时间	脚本ID	失败时产品编号	随机配方的详细描述	品质规则	特殊材料的物品子类（From CommonItem.txt），若填写则必须
0	馒头配方	12140001	1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	16	3000	-1	30101001	我填了	-1	-1
1	三亭砍山刀图样	10011001	1	4	1	11050001	2	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
2	柳叶泼风刀图样	10031001	1	4	1	11050002	2	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	3000	-1	-1	我填了	7	-1
3	粗布衣图样	10231001	1	5	1	11050002	2	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
4	青布衣图样	10231002	1	5	1	11050002	2	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	8	3000	-1	-1	我填了	7	-1
5	青松戒指图样	10291005	1	6	1	11050003	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
6	千合戒指图样	10341002	1	6	1	11050004	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	12	3000	-1	-1	我填了	7	-1
7	金创药配方	12010001	1	7	1	11050004	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003003	我填了	-1	-1
8	归灵丸配方	12020001	1	7	1	11050005	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	14	3000	-1	30003003	我填了	-1	-1
