INT	INT	INT
ID	最大金钱	等级
1	100000	1
2	200000	2
3	300000	3
4	400000	4
5	500000	5
6	600000	6
7	700000	7
8	800000	8
9	900000	9
10	1000000	10
11	1000000	11
12	2000000	12
13	3000000	13
14	4000000	14
15	5000000	15
16	6000000	16
17	7000000	17
18	8000000	18
19	9000000	19
20	10000000	20
21	10000000	21
22	20000000	22
23	30000000	23
24	40000000	24
25	50000000	25
26	60000000	26
27	70000000	27
28	80000000	28
29	90000000	29
30	100000000	30
31	100000000	31
32	200000000	32
33	300000000	33
34	400000000	34
35	500000000	35
36	600000000	36
37	700000000	37
38	800000000	38
39	900000000	39
40	999999999	40
41	999999999	41
42	999999999	42
43	999999999	43
44	999999999	44
45	999999999	45
46	999999999	46
47	999999999	47
48	999999999	48
49	999999999	49
50	999999999	50
51	999999999	51
52	999999999	52
53	999999999	53
54	999999999	54
55	999999999	55
56	999999999	56
57	999999999	57
58	999999999	58
59	999999999	59
60	999999999	60
61	999999999	61
62	999999999	62
63	999999999	63
64	999999999	64
65	999999999	65
66	999999999	66
67	999999999	67
68	999999999	68
69	999999999	69
70	999999999	70
71	999999999	71
72	999999999	72
73	999999999	73
74	999999999	74
75	999999999	75
76	999999999	76
77	999999999	77
78	999999999	78
79	999999999	79
80	999999999	80
81	999999999	81
82	999999999	82
83	999999999	83
84	999999999	84
85	999999999	85
86	999999999	86
87	999999999	87
88	999999999	88
89	999999999	89
90	999999999	90
91	999999999	91
92	999999999	92
93	999999999	93
94	999999999	94
95	999999999	95
96	999999999	96
97	999999999	97
98	999999999	98
99	999999999	99
100	999999999	100
