INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING	INT	INT	INT
怪物编号	名称	等级	刷新周期	最小伤血百分比(Hppercent)	基础经验获得(EXP)	远程内功攻击攻击	远程外功攻击	近程内功攻击	近程外功攻击	远程内功防御	远程外功防御	近程内功防御	近程外功防御	HP上限(hp limit)	MP上限(mp limit)	HP回复(hp reversion)	MP回复(mp reversion)	命中(hit rate)	闪避（volt）	会心率（huixin)	韧性	属性攻击１(shuxingatt1 )	属性攻击２(shuxingatt2 )	属性攻击３(shuxingatt3)	属性攻击４(shuxingatt4)	属性攻击5(shuxingatt5)	属性防御１(shuxingrecovery1)	属性防御２(shuxingrecovery2)	属性防御３(shuxingrecovery3)	属性防御４(shuxingrecovery4)	属性防御5(shuxingrecovery5)	调用脚本ID	外型ID	人物头像	是否随玩家转向	是否显示头顶板信息	名字板高度	选中环大小	阴影大小	攻击动作时间	攻击冷却时间	休闲间隔时间	移动速度	步行速度	攻击速度	武器调用ID	马调用ＩＤ	基础AI	扩展AI	阵营	不可被攻击	是否可以交互	友好值	BOSS标记	瞬时效果免疫ID	持续效果免疫ID	掉落分配半径(米)	掉落最大有效组队个数	掉落物品组	掉落概率0-0	特效名称1	绑定点名称1	特效名称2	绑定点名称2	特效名称3	绑定点名称3	特效名称4	绑定点名称4	马掉落ID	掉落ID	NPC类型	NPC类型名	NPC名称拼音索引	暴击伤害	怒气	是否有搁挡或者闪避动作
#	剧情地图NPC&怪物（1-1999）																																																																											
1	艾山	1	10000	10	57	6	0	4174		1568	0	1568		1000	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2046	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	a			
2	巴吉	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2047	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	b			
3	哈撒儿	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2054	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	h			
4	速不台	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2055	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	s			
5	也遂	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2056	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	y			
6	阿卜拉老人	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2007	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	a			
7	扎兰丁	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2008	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	z			
8	千夫长	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2009	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	q			
9	百夫长	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2010	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	b			
10	艾山夫人	1	10000	10	2	2	0	4174		1568	0	1568		20	3795	0	0	100	0	5	0	0	60	0			60	60	60	60			2079	set:WXSJ_head_1 image:WXSJ_head_1_1	1	1	-1	200	100	1	10	10	2000	1000	100	0	-1	3	-1	20	1	1	0	0	-1	-1	20	0	-1	0									-1		2	任务	a			
