INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
±àºÅ	×øÆïÃû³Æ	×øÆïÃèÊö	Í¼±ê	ÊÊÓ¦¹æÔò	ĞèÒª´ïµ½µÄµÈ¼¶	×øÆïÔö¼ÓËÙ¶È	´æÔÚÊ±ÏŞ£¨µ¥Î»£ºÌì£©	°ó¶¨ÀàĞÍ	ËùĞè½ğÇ®	ÍâĞÎ±àºÅ
21000001	»ÆÂí	ÁÒÂí_×øÆï_01	xinshouzhuangnan	1	0	4	4	1	1	1
21000002	°×Âí	ÁÒÂí_×øÆï_02	xinshouzhuangnan	1	0	4	4	1	1	2
21000003	»ÒÂí	ÁÒÂí_×øÆï_03	xinshouzhuangnan	1	0	4	4	1	1	3
21000004	ºìÂí	ÁÒÂí_×øÆï_04	xinshouzhuangnan	1	0	4	4	1	1	4
21000005	ºÚÂí	ÁÒÂí_×øÆï_05	xinshouzhuangnan	1	0	4	4	1	1	5
21000006	Çà××Âí	¿¥Âí_×øÆï_01	xinshouzhuangnan	1	0	6	6	1	1	6
21000007	»ÆæôÂí	¿¥Âí_×øÆï_02	xinshouzhuangnan	1	0	6	6	1	1	7
21000008	ÔæºìÂí	¿¥Âí_×øÆï_03	xinshouzhuangnan	1	0	6	6	1	1	8
21000009	»¨°ßÂí	¿¥Âí_×øÆï_04	xinshouzhuangnan	1	0	6	6	1	1	9
21000010	Ä«ºÚ	¿¥Âí_×øÆï?_05	xinshouzhuangnan	1	0	6	6	1	1	3
21000011	°×ÁúÂí	±¦Âí_×øÆï_01	xinshouzhuangnan	1	0	8	8	1	1	3
21000012	³àÍÃ	±¦Âí_×øÆï_02	xinshouzhuangnan	1	0	8	8	1	1	3
21000013	ÎÚÑÅÊŞ	±¦Âí_×øÆï_03	xinshouzhuangnan	1	0	8	8	1	1	3
21000014	´óÍğ¾Ô	±¦Âí_×øÆï_04	xinshouzhuangnan	1	0	8	8	1	1	3
21000015	Õ½»Æ	±¦Âí_×øÆï_05	xinshouzhuangnan	1	0	8	8	1	1	3
21000016	¶À½ÇÊŞ	ÌìÂí_×øÆï_01	xinshouzhuangnan	1	0	10	10	1	1	3
21000017	½ğ¾Ô	ÌìÂí_×øÆï_02	xinshouzhuangnan	1	0	10	10	1	1	3
21000018	ÀÇÍ·	ÌìÂí_×øÆï_03	xinshouzhuangnan	1	0	10	10	1	1	3
21000019	ÁÒ»ğ	ÌìÂí_×øÆï_04	xinshouzhuangnan	1	0	10	10	1	1	3
21000020	ºÚÔÆ	ÌìÂí_×øÆï_05	xinshouzhuangnan	1	0	10	10	1	1	3
21000021	×··ç	ÌìÂí_×øÆï_06	xinshouzhuangnan	1	0	10	10	1	1	3
21000022	·ÉÌì	ÌìÂí_×øÆï_07	xinshouzhuangnan	1	0	10	10	1	1	3
21000023	ÓÄÁé	ÌìÂí_×øÆï_08	xinshouzhuangnan	1	0	10	10	1	1	3
21000024	Õ½Éñ	ÌìÂí_×øÆï_09	xinshouzhuangnan	1	0	10	10	1	1	3
21000025	»ÆÅ£	Å£_×øÆï_01	xinshouzhuangnan	1	0	4	4	1	1	3
21000026	Ë®Å£	Å£_×øÆï_02	xinshouzhuangnan	1	0	4	4	1	1	3
21000027	Ò°Å£	Å£_×øÆï_03	xinshouzhuangnan	1	0	4	4	1	1	3
21000028	êóÅ£	Å£_×øÆï_04	xinshouzhuangnan	1	0	4	4	1	1	3
21000029	ÎåÉ«ÉñÅ£	Å£_×øÆï_05	xinshouzhuangnan	1	0	10	10	1	1	3
21000030	Â¹	Â¹_×øÆï_01	xinshouzhuangnan	1	0	6	6	1	1	3
21000031	÷çÂ¹	Â¹_×øÆï_02	xinshouzhuangnan	1	0	6	6	1	1	3
21000032	Ã·»¨Â¹	Â¹_×øÆï_03	xinshouzhuangnan	1	0	6	6	1	1	3
21000033	Ö×¹ÇÂ¹	Â¹_×øÆï_04	xinshouzhuangnan	1	0	6	6	1	1	3
21000034	¾ÅÉ«Â¹	Â¹_×øÆï_05	xinshouzhuangnan	1	0	10	10	1	1	3
21000035	É½Ñò	Ñò_×øÆï_01	xinshouzhuangnan	1	0	8	8	1	1	3
21000036	Å¤½ÇÁçÑò	Ñò_×øÆï_02	xinshouzhuangnan	1	0	8	8	1	1	3
21000037	÷àÁç	Ñò_×øÆï_03	xinshouzhuangnan	1	0	8	8	1	1	3
21000038	´óÁçÑò	Ñò_×øÆï_05	xinshouzhuangnan	1	0	8	8	1	1	3
21000039	²ØÁçÑò	Ñò_×øÆï_04	xinshouzhuangnan	1	0	10	10	1	1	3
21000040	º×	º×_×øÆï_01	xinshouzhuangnan	1	0	8	8	1	1	3
21000041	°×º×	º×_×øÆï_02	xinshouzhuangnan	1	0	10	10	1	1	3
21000042	ºÚº×	º×_×øÆï_03	xinshouzhuangnan	1	0	10	10	1	1	3
21000043	ºÚ¾±º×	º×_×øÆï_04	xinshouzhuangnan	1	0	10	10	1	1	3
21000044	µ¤¶¥º×	º×_×øÆï_05	xinshouzhuangnan	1	0	10	10	1	1	3
21000045	ÑæÀñº×	º×_×øÆï_06	xinshouzhuangnan	1	0	12	12	1	1	3
21000046	ÖØÃûÄñ	º×_×øÆï_07	xinshouzhuangnan	1	0	12	12	1	1	3
21000047	»ÒÏ¬Äñ	Äñ_×øÆï_07	xinshouzhuangnan	1	0	14	14	1	1	3
21000048	±ª	±ª_×øÆï_01	xinshouzhuangnan	1	0	14	14	1	1	3
21000049	ÔÆ±ª	±ª_×øÆï_02	xinshouzhuangnan	1	0	16	16	1	1	3
21000050	Ñ©±ª	±ª_×øÆï_03	xinshouzhuangnan	1	0	16	16	1	1	3
21000051	½ğÇ®±ª	±ª_×øÆï_05	xinshouzhuangnan	1	0	16	16	1	1	3
21000052	ºÚ±ª	±ª_×øÆï_04	xinshouzhuangnan	1	0	18	18	1	1	3
21000053	º£¹ê	¹ê_×øÆï_01	xinshouzhuangnan	1	0	4	4	1	1	3
21000054	Â½¹ê	¹ê_×øÆï_02	xinshouzhuangnan	1	0	4	4	1	1	3
21000055	ÅÜ¹ê	¹ê_×øÆï_03	xinshouzhuangnan	1	0	8	8	1	1	3
21000056	ÃÍ»¢	»¢_×øÆï_01	xinshouzhuangnan	1	0	14	14	1	1	3
21000057	°×»¢	»¢_×øÆï_02	xinshouzhuangnan	1	0	16	16	1	1	3
21000058	½£³İ»¢	»¢_×øÆï_03	xinshouzhuangnan	1	0	18	18	1	1	3
21000059	É½Ê¨	Ê¨_×øÆï_02	xinshouzhuangnan	1	0	14	14	1	1	3
21000060	´ÆÊ¨	Ê¨_×øÆï_01	xinshouzhuangnan	1	0	16	16	1	1	3
21000061	ĞÛÊ¨	Ê¨_×øÆï_03	xinshouzhuangnan	1	0	18	18	1	1	3
21000062	Èı½ÇÁú	¿ÖÁú_×øÆï_02	xinshouzhuangnan	1	0	12	12	1	1	3
21000063	°ÔÍõÁú	¿ÖÁú_×øÆï_04	xinshouzhuangnan	1	0	14	14	1	1	3
21000064	Ñ¸ÃÍÁú	¿ÖÁú_×øÆï_01	xinshouzhuangnan	1	0	16	16	1	1	3
21000065	ÒíÁú	¿ÖÁú_×øÆï_03	xinshouzhuangnan	1	0	18	18	1	1	3
21000066	òùòğ³á°ò	³á°ò_×øÆï_01	xinshouzhuangnan	1	0	24	24	1	1	3
21000067	ÏÉº×³á°ò	³á°ò_×øÆï_02	xinshouzhuangnan	1	0	24	24	1	1	3
21000068	´óÅô³á°ò	³á°ò_×øÆï_03	xinshouzhuangnan	1	0	24	24	1	1	3
21000069	ËÄ²»Ïñ	ÊŞ_×øÆï_01	xinshouzhuangnan	1	0	20	20	1	1	3
21000070	ÁúÊŞ	ÊŞ_×øÆï_02	xinshouzhuangnan	1	0	20	20	1	1	3
21000071	³àÑæÊŞ	ÊŞ_×øÆï_03	xinshouzhuangnan	1	0	20	20	1	1	3
21000072	ÄêÊŞ	ÊŞ_×øÆï_04	xinshouzhuangnan	1	0	20	20	1	1	3
21000073	â³õô	ÊŞ_×øÆï_05	xinshouzhuangnan	1	0	22	22	1	1	3
21000074	â²ÑÀ	ÊŞ_×øÆï_06	xinshouzhuangnan	1	0	22	22	1	1	3
21000075	ÁéÓÈ	ÊŞ_×øÆï_07	xinshouzhuangnan	1	0	22	22	1	1	3
21000076	ÉÁµç	ÊŞ_×øÆï_08	xinshouzhuangnan	1	0	22	22	1	1	3
