INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING
ID	NpcName	DefaultDialog	ScriptDialog	EventList	EventList1	EventList2	EventList3	EventList4
1	艾山	武侠世界2之任务测试。	-1					
2	巴吉	虽然聚在一起，但是还是有很多人被抓了~！可是，如果不聚在一起，我们又能有什么办法呢？	-1	205004				
3	哈撒儿	他们这群软腿虾，只是做做样子，拿起你的武器，用背叛者的血来祭奠长生天吧！	-1	205004|205005|217004|217005|217006				
4	速不台	城居之人不耐劳苦，数挑以劳之，战乃可胜也。	-1	205000|205001|205002|205003|205012|205013|208004|208007|208008|208009|203011|203009|203010|203012|204011|213000|213009|213010|213011|206000|206001|207007|207008|207009				
5	也遂	我们的商队是受了成吉思汗的命令而来的。	-1	205006|205007|205009				
6	阿卜拉老人	在很久以前，这个地方曾经比不花剌城和撒马耳干还要繁荣……，后来，那些比恶魔还要凶狠的人到了这里之后……鲜红的血染红了大地，绿洲变成了沙漠，河流湖泊的水渐渐干涸，如果你用心听，一定能听到那些飘荡的灵魂在哭泣！	-1	205007				
7	扎兰丁	异国来的勇士，欢迎你来到花剌子模帝国！	-1	205006|205010|205011|205012|215000|215001|215002				
8	千夫长	我们要想办法突围出去！	-1	205008				
9	百夫长	一个蒙古人！太好了！	-1	205009				
10	艾山夫人	谢谢你送我回去。	-1					
11	花剌子模师爷	我国地大物博，那些蒙古人奈何不了我们。	-1	205013				
12	成吉思汗	凡有人迹的地方，都是我蒙古大帝国的天下。	-1	208000|208001|208002|208003|208012|204000|204001|204002|204003|215013|206009|212000|212001|212002|212003|212010				
13	哲别	我是神射手——哲别！	-1	208004|208005|208006|203007|203008|203009|204004|204005|204006|204007|204008|215007|215008|217000|217001|217002|217003				
14	忽兰王妃	车帐如云，将士如雨。牛马被野，兵甲辉煌。愿望烟火，连营万里。	-1	208011				
15	窝阔台	我是成吉思汗的儿子！以后的汗位将由我接任。	-1	208010|206009|206010|206011|207000|207001|212005|212012				
16	术赤	我是成吉思汗的长子！	-1	208002|208003|202004|202005|202006|215008|215009|215010				
17	耶律楚材	花剌子模虽然人数众多，城墙高大坚固，看似很强大，但是该国本是多国家多民族组成，民族矛盾重重，加上国王狂妄自大、将士骄纵，几率涣散，凝聚力差，战斗力弱，一击必败！	-1	208012|208013|207008|207009|212012				
18	秃儿太后	你是来抓我的吧	-1	208009				
19	忽必来	一株草药	-1	208011|204008|204009|204010				
20	花剌子模战旗	砍了它	-1	208001				
21	蒙古勇士	誓死效忠大汗！	-1					
22	大汗护卫	大汗的安危比我们生命更重要！	-1					
23	蒙古哨兵	一切看起来都很安静。	-1					
24	马剌	你听说过金刀驸马吗？	-1	203000|203001				
25	郭靖	侠之大者，为国为民。	-1	203001|203002|203003|203004|203005|203006				
26	明安	我很想念我的老朋友，他是江南的一个大侠！	-1	203002|203003|203004				
27	赤老温	箭随神走，眼所至，箭已至！这是用箭的最高意境！	-1	217013				
28	速不台	在战场上，只有懦夫会死得痛苦不堪，只有勇士能活下来。	-1	212000|212001|212006|212007|212008|225000|225001|225002|223009|223010|223011|223012|223013				
