INT	STRING	INT	INT	INT
牌ID	牌名	属性ID	属性值	概率
1	任意牌	0	1	0
2	任意风牌	0	1	0
3	任意箭牌	0	1	0
4	任意字牌	0	1	0
5	任意非字牌	0	1	0
6	任意条牌	0	1	0
7	任意筒牌	0	1	0
8	任意万牌	0	1	0
9	任意顺	94	80	0
10	任意刻	94	120	0
11	任意将	94	40	0
15	东	50	2	0
16	南	51	2	0
17	西	53	2	0
18	北	54	2	0
19	中	16	15	0
20	发	18	15	0
21	白	20	15	0
31	1条	1	2	0
32	2条	1	3	0
33	3条	1	2	0
34	4条	13	2	0
35	5条	13	3	0
36	6条	13	2	0
37	7条	7	2	0
38	8条	7	3	0
39	9条	7	2	0
41	1筒	3	2	0
42	2筒	3	3	0
43	3筒	3	2	0
44	4筒	15	2	0
45	5筒	15	3	0
46	6筒	15	2	0
47	7筒	7	2	0
48	8筒	7	3	0
49	9筒	7	2	0
51	1万	5	2	0
52	2万	5	3	0
53	3万	5	2	0
54	4万	11	2	0
55	5万	11	3	0
56	6万	11	2	0
57	7万	7	2	0
58	8万	7	3	0
59	9万	7	2	0
