INT	INT
Level	Exp
1	6
2	7
3	10
4	13
5	17
6	22
7	29
8	38
9	50
10	63
11	199
12	233
13	262
14	306
15	340
16	391
17	445
18	503
19	549
20	614
21	7226
22	8246
23	9402
24	10566
25	11805
26	13200
27	14680
28	16155
29	17802
30	19535
31	34546
32	38655
33	43845
34	49704
35	56477
36	63921
37	72668
38	82283
39	93275
40	105810
41	141078
42	159191
43	179611
44	202593
45	228416
46	257747
47	290607
48	328182
49	370168
50	417480
51	494200
52	559209
53	632763
54	716436
55	810771
56	917632
57	1038451
58	1174807
59	1330073
60	1504734
61	1754455
62	2242903
63	2522190
64	2826055
65	3157173
66	3516060
67	3906952
68	4329111
69	4787168
70	5283294
71	5189484
72	6021895
73	6936507
74	7940753
75	9038185
76	10236830
77	11545565
78	12968276
79	14517561
80	16204361
81	17274847
82	19437610
83	21874757
84	24618332
85	27703838
86	31175597
87	35083568
88	39484022
89	44434132
90	50003828
91	53543167
92	60257351
93	67814191
94	76311160
95	85874885
96	96648863
97	108763360
98	122395289
99	137732237
100	155010547
