INT	STRING	INT	INT	INT	INT	INT
该ID和道具表里的ID保持一致	该道具的名称	"道具分别对应着不同的使用类型,表示的后面数值的作用的对象不同.其中1表示的是增加骑乘悟性的道具,2表示增加骑乘根骨的道具3表示的是增加快乐度4表示增加可使用技能格子数5表示对应位置的洗去技能格子的笑忘书,-1表示无作用6表示领悟型技能道具,增加领悟技能7表示扩展位置的技能书8表示还童书"	"对应1类型的数值填写表示的含义是按照百分比增加骑乘的悟性,对应2表示百分比增加根骨,3表示百分比增加快度,4,5,6,7，8该项数值无作用"	"对应0类型的数值填写表示的含义是按照数值增加骑乘的悟性,对应1表示按照数值增加根骨,2表示按照数值增加快乐度,3表示扩展格子的数目,,4表示对应洗去的格子位置,7表示新骑乘的成长率5,6该数值无作用"	"当道具类型填写5和6时候,填写该ID添加相应的技能,对应技能表格的ID号码,按照成功率添加技能."	"成功的概率,对6和7有效"
12051000	马的1级悟性丹	0	0	1	11	100
12051001	马的2级悟性丹	0	0	2	11	100
12051002	马的3级悟性丹	0	0	3	11	100
12051003	马的4级悟性丹	0	0	4	11	100
12051004	马的5级悟性丹	0	0	5	11	100
12051005	马的6级悟性丹	0	0	6	11	100
12051006	马的7级悟性丹	0	0	7	11	100
12051007	马的8级悟性丹	0	0	8	11	100
12051008	马的9级悟性丹	0	0	9	11	100
12051009	马的10级悟性丹	0	0	10	11	100
12052000	马的1级根骨丹	1	0	1	11	100
12052001	马的2级根骨丹	1	0	2	11	100
12052002	马的3级根骨丹	1	0	3	11	100
12052003	马的4级根骨丹	1	0	4	11	100
12052004	马的5级根骨丹	1	0	5	11	100
12052005	马的6级根骨丹	1	0	6	11	100
12052006	马的7级根骨丹	1	0	7	11	100
12052007	马的8级根骨丹	1	0	8	11	100
12052008	马的9级根骨丹	1	0	9	11	100
12052009	马的10级根骨丹	1	0	10	11	100
12053000	马的1级快乐度丹	2	0	10	11	100
12053001	马的2级快乐度丹	2	0	20	11	100
12053002	马的3级快乐度丹	2	0	30	11	100
12053003	马的4级快乐度丹	2	0	40	11	100
12053004	马的5级快乐度丹	2	0	50	11	100
12053005	马的6级快乐度丹	2	0	60	11	100
12053006	马的7级快乐度丹	2	0	70	11	100
12053007	马的8级快乐度丹	2	0	80	11	100
12053008	马的9级快乐度丹	2	0	90	11	100
12053009	马的10级快乐度丹	2	0	100	11	100
12054000	马的1级技能格子槽	3	-1	1	-1	100
12054001	马的2级技能格子槽	3	-1	2	-1	100
12054002	马的3级技能格子槽	3	-1	3	-1	100
12054003	马的4级技能格子槽	3	-1	4	-1	100
12054004	马的5级技能格子槽	3	-1	5	-1	100
12054005	马的6级技能格子槽	3	-1	6	-1	100
12054006	马的7级技能格子槽	3	-1	6	-1	100
12054007	马的8级技能格子槽	3	-1	6	-1	100
12054008	马的9级技能格子槽	3	-1	6	-1	100
12054009	马的10级技能格子槽	3	-1	6	-1	100
12055000	马的1级技能遗忘丹	4	-1	1	-1	100
12055001	马的2级技能遗忘丹	4	-1	2	-1	100
12055002	马的3级技能遗忘丹	4	-1	3	-1	100
12055003	马的4级技能遗忘丹	4	-1	4	-1	100
12055004	马的5级技能遗忘丹	4	-1	5	-1	100
12055005	马的6级技能遗忘丹	4	-1	6	-1	100
12055006	马的7级技能遗忘丹	4	-1	6	-1	100
12055007	马的8级技能遗忘丹	4	-1	6	-1	100
12055008	马的9级技能遗忘丹	4	-1	6	-1	100
12055009	马的10级技能遗忘丹	4	-1	6	-1	100
12056000	马的1级技能领悟书	5	-1	-1	11010	100
12056001	马的2级技能领悟书	5	-1	-1	11020	90
12056002	马的3级技能领悟书	5	-1	-1	11030	80
12056003	马的4级技能领悟书	5	-1	-1	11040	70
12056004	马的5级技能领悟书	5	-1	-1	11050	68
12056005	马的6级技能领悟书	5	-1	-1	11060	66
12056006	马的7级技能领悟书	5	-1	-1	11070	64
12056007	马的8级技能领悟书	5	-1	-1	11080	62
12056008	马的9级技能领悟书	5	-1	-1	11090	60
12056009	马的10级技能领悟书	5	-1	-1	11200	58
12057000	骑乘1级主动回春	6	-1	-1	11600	100
12057001	骑乘1级主动反震	6	-1	-1	11710	100
12057002	骑乘1级主动打击	6	-1	-1	11800	100
12057003	骑乘1级主动射击	6	-1	-1	11900	100
12057004	骑乘1级主动伤害加深陷阱	6	-1	-1	12000	100
12057005	骑乘1级主动冰霜盾	6	-1	-1	12110	100
12057006	骑乘1级主动范围加血	6	-1	-1	12200	100
12057007	骑乘2级主动范围加血	6	-1	-1	12201	100
12057008	骑乘3级主动范围加血	6	-1	-1	12202	100
12057009	骑乘4级主动范围加血	6	-1	-1	12203	100
12058000	马的1级还童	7	-1	1	-1	100
12058001	马的2级还童	7	-1	2	-1	100
12058002	马的3级还童	7	-1	3	-1	100
12058003	马的4级还童	7	-1	4	-1	100
12058004	马的5级还童	7	-1	5	-1	100
12058005	马的6级还童	7	-1	6	-1	100
12058006	马的7级还童	7	-1	7	-1	100
12058007	马的8级还童	7	-1	8	-1	100
12058008	马的9级还童	7	-1	9	-1	100
12058009	马的10级还童	7	-1	10	-1	100
