INT	STRING	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT
骑乘的ID	骑乘名称	骑乘等级	骑乘携带等级	还童后的ＩＤ	交配后的ID	是否可以交配	是否变异	繁殖代数	骑乘的归属	无主骑乘存活时间	初始最小力量	初始最大力量	初始最小敏捷	初始最大敏捷	初始最小智力	初始最大智力	初始最小体质	初始最大体质	初始最小力量资质	初始最大力量资质	初始最小敏捷资质	初始最大敏捷资质	初始最小智力资质	初始最大智力资质	初始最小体质资质	初始最大体质资质	初始最小悟性	初始最大悟性	初始最小根骨	初始最大根骨	初始最小成长率	初始最大成长率	移动速度	对应表现ＩＤ	对应表现ID	骑乘技能数	骑乘技能1	骑乘技能2	骑乘技能3	骑乘技能4	骑乘技能5	骑乘技能6	骑乘领悟技能ＩＤ
1	野马1	1	10	7	-1	0	0	1	0	50000	1	2	1	2	1	2	1	2	1125	1375	1125	1375	1125	1375	1125	1375	1	3	0	1	346	380	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
2	野马2	1	10	8	-1	0	0	1	0	50000	1	2	1	2	1	2	1	2	625	1875	625	1875	625	1875	1800	1875	1	3	0	1	346	380	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
3	野马3	1	10	9	-1	0	0	1	0	50000	1	2	1	2	1	2	2	3	900	1100	900	1100	900	1100	1350	2200	1	3	0	1	346	380	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
4	野马4	1	10	10	-1	0	0	1	0	50000	1	2	1	2	1	2	2	2	1125	1375	1125	1375	900	1100	1350	1650	1	3	0	1	346	380	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
5	野马5	1	10	11	-1	0	0	1	0	50000	1	2	1	2	1	2	2	2	900	1100	1125	1375	1125	1375	1350	1650	1	3	0	1	346	380	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
6	野马6	1	10	12	-1	0	0	1	0	50000	1	2	1	2	1	2	2	2	1125	1375	900	1100	1125	1375	1458	1650	1	3	0	1	346	380	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
7	战马7	1	10	7	16	1	0	1	0	50000	2	4	2	4	2	4	2	4	765	1785	765	1785	765	1785	765	1785	1	3	1	1	680	714	5	1000	2	2	11000	-1	-1	-1	-1	-1	1
8	战马8	1	10	8	17	1	0	1	0	50000	1	3	1	3	1	3	1	3	408	1632	408	1632	408	1632	408	1632	1	3	1	1	680	714	5	1000	2	2	11000	-1	-1	-1	-1	-1	1
9	战马9	1	10	9	18	1	0	1	0	50000	1	2	1	2	1	2	4	11	204	816	204	816	204	816	1428	5712	1	3	1	1	680	714	5	1000	2	2	11000	-1	-1	-1	-1	-1	1
10	战马10	1	10	10	19	1	0	1	0	50000	2	2	2	2	4	5	3	4	612	918	612	918	1632	2448	1224	1836	1	3	1	1	680	714	5	1000	2	2	11000	-1	-1	-1	-1	-1	1
11	战马11	1	10	11	20	1	0	1	0	50000	4	5	2	2	2	2	3	4	1632	2448	612	918	612	918	1224	1836	1	3	1	1	680	714	5	1000	2	2	11000	-1	-1	-1	-1	-1	1
12	战马12	1	10	12	21	1	0	1	0	50000	2	2	4	5	2	2	3	4	612	918	1632	2448	612	918	1224	1836	1	3	1	1	680	714	5	1000	2	2	11000	-1	-1	-1	-1	-1	1
13	战马13	1	10	13	22	1	0	1	0	50000	1	2	7	8	1	2	1	2	408	612	408	612	2856	4284	408	612	1	3	1	1	680	714	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
14	战马14	1	10	14	23	1	0	1	0	50000	1	2	1	2	7	8	1	2	2856	4284	408	612	408	612	408	612	1	3	1	1	680	714	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
15	战马15	1	10	15	24	1	0	1	0	50000	7	8	1	2	1	2	1	2	408	612	2856	4284	408	612	408	612	1	3	1	1	680	714	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
16	天马16	1	10	-1	-1	0	1	2	3	50000	2	4	2	4	2	4	2	4	963	1788	963	1788	963	1788	963	1788	1	3	1	1	688	870	5	1000	3	2	11000	-1	-1	-1	-1	-1	1
17	天马17	1	10	-1	-1	0	1	2	3	50000	1	5	1	5	1	5	1	5	413	2338	413	2338	413	2338	413	2338	1	3	1	1	688	870	5	1000	3	2	11000	-1	-1	-1	-1	-1	1
18	天马18	1	10	-1	-1	0	1	2	3	50000	1	2	1	2	1	2	3	12	385	715	385	715	385	715	2695	5005	1	3	1	1	688	870	5	1000	3	2	11000	-1	-1	-1	-1	-1	1
19	天马19	1	10	-1	-1	0	1	2	3	50000	2	2	2	2	4	5	3	4	578	1073	578	1073	1540	2860	1155	2145	1	3	1	1	688	870	5	1000	3	2	11000	-1	-1	-1	-1	-1	1
20	天马20	1	10	-1	-1	0	1	2	3	50000	4	5	2	2	2	2	3	4	1540	2860	578	1073	578	1073	1155	2145	1	3	1	1	688	870	5	1000	3	2	11000	-1	-1	-1	-1	-1	1
21	天马21	1	10	-1	-1	0	1	2	3	50000	2	2	4	5	2	2	3	4	578	1073	1540	2860	578	1073	1155	2145	1	3	1	1	688	870	5	1000	3	2	11000	-1	-1	-1	-1	-1	1
22	天马22	1	10	-1	-1	0	1	2	3	50000	1	3	2	7	1	3	1	6	248	1403	248	1403	660	3740	495	2805	1	3	1	1	688	870	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
23	天马23	1	10	-1	-1	0	1	2	3	50000	1	3	1	3	2	7	1	6	660	3740	248	1403	248	1403	495	2805	1	3	1	1	688	870	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
24	天马24	1	10	-1	-1	0	1	2	3	50000	2	7	1	3	1	3	1	6	248	1403	660	3740	248	1403	495	2805	1	3	1	1	688	870	5	1000	1	2	11000	-1	-1	-1	-1	-1	1
25	野马25	5	10	31	-1	0	0	1	0	50000	4	6	4	6	4	6	4	6	1137	1389	1137	1389	1137	1389	632	1389	1	4	1	1	380	415	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
26	野马26	5	10	32	-1	0	0	1	0	50000	2	8	2	8	2	8	2	8	632	1894	632	1894	632	1894	1818	1894	1	4	1	1	380	415	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
27	野马27	5	10	33	-1	0	0	1	0	50000	4	5	4	5	4	5	7	10	909	1111	909	1111	909	1111	1364	2222	1	4	1	1	380	415	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
28	野马28	5	10	34	-1	0	0	1	0	50000	4	6	4	6	4	5	5	8	1137	1389	1137	1389	909	1111	1364	1667	1	4	1	1	380	415	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
29	野马29	5	10	35	-1	0	0	1	0	50000	4	5	4	6	4	6	5	8	909	1111	1137	1389	1137	1389	1364	1667	1	4	1	1	380	415	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
30	野马30	5	10	36	-1	0	0	1	0	50000	4	6	4	5	4	6	5	8	1137	1389	909	1111	1137	1389	1458	1667	1	4	1	1	380	415	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
31	战马31	5	10	31	40	1	0	1	0	50000	4	7	4	7	4	7	4	7	773	1803	773	1803	773	1803	773	1803	1	4	1	2	714	748	5	1000	2	2	11000	11010	-1	-1	-1	-1	1
32	战马32	5	10	32	41	1	0	1	0	50000	2	6	2	6	2	6	2	6	413	1649	413	1649	413	1649	413	1649	1	4	1	2	714	748	5	1000	2	2	11000	11010	-1	-1	-1	-1	1
33	战马33	5	10	33	42	1	0	1	0	50000	1	3	1	3	1	3	7	21	207	825	207	825	207	825	1443	5770	1	4	1	2	714	748	5	1000	2	2	11000	11010	-1	-1	-1	-1	1
34	战马34	5	10	34	43	1	0	1	0	50000	3	4	3	4	8	9	6	7	619	928	619	928	1649	2473	1237	1855	1	4	1	2	714	748	5	1000	2	2	11000	11010	-1	-1	-1	-1	1
35	战马35	5	10	35	44	1	0	1	0	50000	8	9	3	4	3	4	6	7	1649	2473	619	928	619	928	1237	1855	1	4	1	2	714	748	5	1000	2	2	11000	11010	-1	-1	-1	-1	1
36	战马36	5	10	36	45	1	0	1	0	50000	3	4	8	9	3	4	6	7	619	928	1649	2473	619	928	1237	1855	1	4	1	2	714	748	5	1000	2	2	11000	11010	-1	-1	-1	-1	1
37	战马37	5	10	37	46	1	0	1	0	50000	2	3	13	16	2	3	2	3	413	619	413	619	2885	4327	413	619	1	4	1	2	714	748	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
38	战马38	5	10	38	47	1	0	1	0	50000	2	3	2	3	13	16	2	3	2885	4327	413	619	413	619	413	619	1	4	1	2	714	748	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
39	战马39	5	10	39	48	1	0	1	0	50000	13	16	2	3	2	3	2	3	413	619	2885	4327	413	619	413	619	1	4	1	2	714	748	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
40	天马40	5	10	-1	-1	0	1	2	3	50000	3	7	3	7	3	7	3	7	973	1806	973	1806	973	1806	973	1806	1	4	1	2	716	899	5	1000	3	2	11000	11010	-1	-1	-1	-1	1
41	天马41	5	10	-1	-1	0	1	2	3	50000	2	9	2	9	2	9	2	9	417	2361	417	2361	417	2361	417	2361	1	4	1	2	716	899	5	1000	3	2	11000	11010	-1	-1	-1	-1	1
42	天马42	5	10	-1	-1	0	1	2	3	50000	1	4	1	4	1	4	5	24	389	723	389	723	389	723	2722	5056	1	4	1	2	716	899	5	1000	3	2	11000	11010	-1	-1	-1	-1	1
43	天马43	5	10	-1	-1	0	1	2	3	50000	3	4	3	4	7	10	5	8	584	1084	584	1084	1556	2889	1167	2167	1	4	1	2	716	899	5	1000	3	2	11000	11010	-1	-1	-1	-1	1
44	天马44	5	10	-1	-1	0	1	2	3	50000	7	10	3	4	3	4	5	8	1556	2889	584	1084	584	1084	1167	2167	1	4	1	2	716	899	5	1000	3	2	11000	11010	-1	-1	-1	-1	1
45	天马45	5	10	-1	-1	0	1	2	3	50000	3	4	7	10	3	4	5	8	584	1084	1556	2889	584	1084	1167	2167	1	4	1	2	716	899	5	1000	3	2	11000	11010	-1	-1	-1	-1	1
46	天马46	5	10	-1	-1	0	1	2	3	50000	1	6	3	14	1	6	2	11	250	1417	250	1417	667	3778	500	2834	1	4	1	2	716	899	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
47	天马47	5	10	-1	-1	0	1	2	3	50000	1	6	1	6	3	14	2	11	667	3778	250	1417	250	1417	500	2834	1	4	1	2	716	899	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
48	天马48	5	10	-1	-1	0	1	2	3	50000	3	14	1	6	1	6	2	11	250	1417	667	3778	250	1417	500	2834	1	4	1	2	716	899	5	1000	1	2	11000	11010	-1	-1	-1	-1	1
49	野马49	15	10	55	-1	0	0	1	0	50000	12	18	12	18	12	18	12	18	1148	1403	1148	1403	1148	1403	638	1403	2	5	1	2	415	484	5	1000	1	2	11000	11200	-1	-1	-1	-1	2
50	野马50	15	10	56	-1	0	0	1	0	50000	6	24	6	24	6	24	6	24	638	1913	638	1913	638	1913	1836	1913	2	5	1	2	415	484	5	1000	1	2	11000	11200	-1	-1	-1	-1	2
51	野马51	15	10	57	-1	0	0	1	0	50000	10	15	10	15	10	15	20	29	918	1122	918	1122	918	1122	1377	2244	2	5	1	2	415	484	5	1000	1	2	11000	11200	-1	-1	-1	-1	2
52	野马52	15	10	58	-1	0	0	1	0	50000	12	18	12	18	10	15	15	22	1148	1403	1148	1403	918	1122	1377	1683	2	5	1	2	415	484	5	1000	1	2	11000	11200	-1	-1	-1	-1	3
53	野马53	15	10	59	-1	0	0	1	0	50000	10	15	12	18	12	18	15	22	918	1122	1148	1403	1148	1403	1377	1683	2	5	1	2	415	484	5	1000	1	2	11000	11200	-1	-1	-1	-1	4
54	野马54	15	10	60	-1	0	0	1	0	50000	12	18	10	15	12	18	15	22	1148	1403	918	1122	1148	1403	1458	1683	2	5	1	2	415	484	5	1000	1	2	11000	11200	-1	-1	-1	-1	5
55	战马55	15	10	55	64	1	0	1	0	50000	11	20	11	20	11	20	11	20	781	1821	781	1821	781	1821	781	1821	2	5	1	2	748	782	5	1000	1	2	11000	11200	-1	-1	-1	-1	2
56	战马56	15	10	56	65	1	0	1	0	50000	6	18	6	18	6	18	6	18	417	1665	417	1665	417	1665	417	1665	2	5	1	2	748	782	5	1000	2	2	11000	11200	-1	-1	-1	-1	2
57	战马57	15	10	57	66	1	0	1	0	50000	3	9	3	9	3	9	21	63	209	833	209	833	209	833	1457	5827	2	5	1	2	748	782	5	1000	2	2	11000	11200	-1	-1	-1	-1	2
58	战马58	15	10	58	67	1	0	1	0	50000	9	10	9	10	22	27	17	20	625	937	625	937	1665	2497	1249	1873	2	5	1	2	748	782	5	1000	2	2	11000	11200	-1	-1	-1	-1	3
59	战马59	15	10	59	68	1	0	1	0	50000	22	27	9	10	9	10	17	20	1665	2497	625	937	625	937	1249	1873	2	5	1	2	748	782	5	1000	2	2	11000	11200	-1	-1	-1	-1	4
60	战马60	15	10	60	69	1	0	1	0	50000	9	10	22	27	9	10	17	20	625	937	1665	2497	625	937	1249	1873	2	5	1	2	748	782	5	1000	2	2	11000	11200	-1	-1	-1	-1	5
61	战马61	15	10	61	70	1	0	1	0	50000	6	7	38	47	6	7	6	7	417	625	417	625	2914	4370	417	625	2	5	1	2	748	782	5	1000	2	2	11000	11200	-1	-1	-1	-1	3
62	战马62	15	10	62	71	1	0	1	0	50000	6	7	6	7	38	47	6	7	2914	4370	417	625	417	625	417	625	2	5	1	2	748	782	5	1000	1	2	11000	11200	-1	-1	-1	-1	4
63	战马63	15	10	63	72	1	0	1	0	50000	38	47	6	7	6	7	6	7	417	625	2914	4370	417	625	417	625	2	5	1	2	748	782	5	1000	1	2	11000	11200	-1	-1	-1	-1	5
64	天马64	15	10	-1	-1	0	1	2	3	50000	9	21	9	21	9	21	9	21	982	1824	982	1824	982	1824	982	1824	2	5	1	2	750	936	5	1000	3	2	11000	11200	-1	-1	-1	-1	2
65	天马65	15	10	-1	-1	0	1	2	3	50000	5	26	5	26	5	26	5	26	421	2385	421	2385	421	2385	421	2385	2	5	1	2	750	936	5	1000	3	2	11000	11200	-1	-1	-1	-1	2
66	天马66	15	10	-1	-1	0	1	2	3	50000	2	11	2	11	2	11	13	72	393	730	393	730	393	730	2749	5106	2	5	1	2	750	936	5	1000	3	2	11000	11200	-1	-1	-1	-1	2
