INT	STRING	INT	INT	INT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	商店说明	修理等级	收购等级	RepairType(修理类型)	修理花费	收购类型	修理成功几率	Scale(价格系数)	Rate(只有动态商店这里起作用)	商店类型，动态1	Time1(定时刷新)	Time2(间隔刷新)	Num(商品数量)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)
1		40	100	1	1	1	1	1	0	0	0	100000	60	11000001	1	1	11000002	1	1	11000003	1	1	11000004	1	1	11000005	1	1	11000006	1	1	11000007	1	1	11010001	1	1	11010002	1	1	11010003	1	1	11010004	1	1	11010005	1	1	11010006	1	1	11010007	1	1	11010008	1	1	11010009	1	1	11010010	1	1	11010011	1	1	11010012	1	1	11020001	1	1	11020002	1	1	11020003	1	1	11020004	1	1	11020005	1	1	11020006	1	1	11020007	1	1	11020008	1	1	11020009	1	1	11020010	1	1	11020011	1	1	11020012	1	1	11030001	1	1	11040001	1	1	11050001	1	1	14000001	1	1	14000002	1	1	18060001	1	1	18070001	1	1	11970001	1	1	11970001	1	1	11970011	1	1	11970021	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
2		40	100	1	1	1	1	1	0	0	0	100000	60	12010001	1	1	12010002	1	1	12010003	1	1	12010004	1	1	12020001	1	1	12020002	1	1	12020003	1	1	12020004	1	1	11990001	1	1	11990002	1	1	10200001	1	1	10200050	1	1	10200060	1	1	10220001	1	1	10220050	1	1	10220060	1	1	10230001	1	1	10230050	1	1	10230060	1	1	10250001	1	1	10250050	1	1	10250060	1	1	10270001	1	1	10270050	1	1	10270060	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
3		40	100	1	1	1	1	1	0	0	0	100000	60	10010000	1	1	10016001	1	1	10020000	1	1	10026001	1	1	10030000	1	1	10036001	1	1	10040000	1	1	10046001	1	1	10050000	1	1	10056001	1	1	10060000	1	1	10066001	1	1	10070000	1	1	10080000	1	1	10090000	1	1	10100000	1	1	10110000	1	1	10120000	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
4		40	100	1	1	1	1	1	0	0	0	100000	60	10200000	1	1	10210000	1	1	10220000	1	1	10230000	1	1	10240000	1	1	10250000	1	1	10260000	1	1	10270000	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
5		40	100	1	1	1	1	1	0	0	0	100000	60	10280000	1	1	10290000	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
6		40	100	1	1	1	1	1	0	0	0	100000	60	11000001	1	1	11000002	1	1	11000003	1	1	11000004	1	1	11000005	1	1	11000006	1	1	11000007	1	1	11010001	1	1	11010002	1	1	11020001	1	1	11020002	1	1	11030001	1	1	11040001	1	1	11050001	1	1	14000001	1	1	14010001	1	1	14020001	1	1	14030001	1	1	11970001	1	1	11970011	1	1	11970021	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
7		40	100	1	1	1	1	1	0	0	0	100000	60	12058000	1	1	12057000	1	1	12056000	1	1	12055000	1	1	12054000	1	1	12053000	1	1	12052000	1	1	12051000	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
8		40	100	1	1	1	1	1	0	0	0	100000	60	12010001	1	1	14010001	1	1	14010002	1	1	14010003	1	1	14010004	1	1	14010005	1	1	14010006	1	1	14010007	1	1	14010008	1	1	14010009	1	1	14010010	1	1	14010011	1	1	14010012	1	1	14010013	1	1	14010014	1	1	14010015	1	1	14010016	1	1	14010017	1	1	14010018	1	1	14010019	1	1	14010020	1	1	14010021	1	1	14010022	1	1	14010023	1	1	14010024	1	1	14010025	1	1	14020001	1	1	14020002	1	1	14020003	1	1	14020004	1	1	14020005	1	1	14020006	1	1	14020007	1	1	14020008	1	1	14020009	1	1	14020010	1	1	14020011	1	1	14020012	1	1	14020013	1	1	14020014	1	1	14020015	1	1	14020016	1	1	14020017	1	1	14020018	1	1	14020019	1	1	14020020	1	1	14020021	1	1	14020022	1	1	14020023	1	1	14020024	1	1	14020025	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
9		40	100	1	1	1	1	1	0	0	0	100000	60	14030001	1	1	14030002	1	1	14030003	1	1	14030004	1	1	14030005	1	1	14030006	1	1	14030007	1	1	14030008	1	1	14030009	1	1	14030010	1	1	14030011	1	1	14030012	1	1	14030013	1	1	14030014	1	1	14030015	1	1	14030016	1	1	14030017	1	1	14030018	1	1	14030019	1	1	14030020	1	1	14030021	1	1	14030022	1	1	14030023	1	1	14030024	1	1	14030025	1	1	14040001	1	1	14040002	1	1	14040003	1	1	14040004	1	1	14040005	1	1	14040006	1	1	14040007	1	1	14040008	1	1	14040009	1	1	14040010	1	1	14040011	1	1	14040012	1	1	14040013	1	1	14040014	1	1	14040015	1	1	14040016	1	1	14040017	1	1	14040018	1	1	14040019	1	1	14040020	1	1	14040021	1	1	14040022	1	1	14040023	1	1	14040024	1	1	14040025	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1
