INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	STRING
ID	策划专用ID	技能逻辑ID	效果的简要逻辑说明	冷却时间	聚气时间(ms)	引导时间(ms)	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	目标级别	预留	预留	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	技能描述（FOR TIP）	技能描述（FOR Interface）
0	0	0	武士：攻击	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	0	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1												-1					有效距离：2米#r瞬间释放#r#cFF6600自动连续释放	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放
1	0	0	道士：攻击	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1												-1					有效距离：2米#r瞬间释放#r#cFF6600自动连续释放	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放
2	0	0	先知：攻击	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	2	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1												-1					有效距离：2米#r瞬间释放#r#cFF6600自动连续释放	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放
3	0	0	系统预留	1300	-1	-1		-1	-1			-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
4	0	0	系统预留	1300	-1	-1		-1	-1			-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
5	0	0	系统预留	1300	-1	-1		-1	-1			-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
6	0	0	系统预留	1300	-1	-1		-1	-1			-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
7	0	0	系统预留	1300	-1	-1		-1	-1			-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
8	0	0	系统预留	1300	-1	-1		-1	-1			-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
