INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	FLOAT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT
ID，（技能系的ID）	策划专用ID	门派（职业）	技能名字	效果的简要逻辑说明	技能描述（FOR TIP）	技能描述（FOR Interface）	图标名字	招式类型	技能逻辑ID	技能系别（前提点数之和需求）	等级上限	冷却时间	聚气时间(ms)	引导时间(ms)	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值p1（v=p1*level+p2）	条件或消耗参数值p2（v=p1*level+p2）	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值p1（v=p1*level+p2）	条件或消耗参数值p2（v=p1*level+p2）	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值p1（v=p1*level+p2）	条件或消耗参数值p2（v=p1*level+p2）	目标级别	需要拿武器	受限于控制1	受限于控制2	受限于骑乘/变身	是否是远程技能	是否打断上一个正在执行的技能	技能类型      0为吟唱技能、1为需要引导的技能，2为顺发技能、3为被动技能。	冷却ID	引导/聚气动作组ID 序列	发招动作组ID序列	环境特效ID	所选的目标必须是活的还是死的	技能类型按使用者划分	主动技能还是被动技能	鼠标点选操作类型      0无需选择、1角色、2位置、3方向、4对自己进行操作、5玩家、	"选择特效,如果不是区域选择技能,可以空着"	"宠物技能发动类型 0:主人手动点选,1:AI自动执行,2:增强自身属性的被动技能"	"技能发动几率,只对宠物技能有效"	"宠物技能类型,0:物功,1:法功,2:护主,3:防御,4:复仇;"	宠物技能产生的效果ID	预留1	预留2	预留3	预留4	子弹飞行速度	子弹发射点	子弹数量	子弹间隔夹角	目标选择逻辑      0只对自己有效   1只对自己的宠物有效   2只对自己的分身有效   3只对自己的主人有效（宠物专用）  4以自己为中心范围有效   5瞄准的对象有效   6以瞄准的对象为中心范围有效   7以瞄准的位置点为中心范围有效	动作时间(ms)	最小射程(m)	最大射程(m)	技能友好度，=0为中性技能，>0为正面技能，<0为 负面技能	目标和使用者阵营关系      0为对友方使用，1为对敌方使用。	目标类型	是否仅对队友有效。注：队友宠物算作队友。1为只对队友有效，0为无此限制。	连续攻击次数或引导的时间间隔(ms)	是否自动连续释放	命中率	会心率	角色的攻击速度是否影响技能的冷却时间。	激活时间	范围半径	角度参量	范围搜索的目标个数	预留5	本技能是否打断自动释放技能	延迟时间（暂时不用）	伤害计算的通用延迟时间（ms）	是否瞬发技能	击退距离	击退概率	击飞距离	击飞概率	是否是带有球特效的技能	预留	预留	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	子技能	子技能施放成功率	是否是冲锋技能	是否被击退	回退百分比	回退概率	是否是搜侠录技能 1是 0不是
0	0	-1	武士：普通攻击	系统预留	系统预留	系统预留	funny_01	0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	0	0	0	2	200		121;122;123;	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	1300	0	4	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	1|1|1|1|1	-1	1	0	0	0	1	100	5	100	0	-1	-1	|生效一次的附加效果1	311|312|313|314|315	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
#3	0	-1	系统预留	系统预留	系统预留	系统预留		0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		121	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	6|6|6|6|6	-1	1	0	0	0	1	100	10	100	0	-1	-1	|生效一次的附加效果1	1|1|1|1|1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
#4	0	-1	系统预留	系统预留	系统预留	系统预留		0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		121	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	6|6|6|6|6	-1	1	0	0	0	1	100	10	100	0	-1	-1	|生效一次的附加效果1	1|1|1|1|1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
#5	0	-1	系统预留	系统预留	系统预留	系统预留		0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		121	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	6|6|6|6|6	-1	1	0	0	0	1	100	10	100	0	-1	-1	|生效一次的附加效果1	1|1|1|1|1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
#6	0	-1	系统预留	系统预留	系统预留	系统预留		0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		121	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	6|6|6|6|6	-1	1	0	0	0	1	100	10	100	0	-1	-1	|生效一次的附加效果1	1|1|1|1|1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
#7	0	-1	系统预留	系统预留	系统预留	系统预留		0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		121	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	0|0|0|0|0	360	6|6|6|6|6	-1	1	0	0	0	1	100	10	100	0	-1	-1	|生效一次的附加效果1	1|1|1|1|1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
#8	0	-1	系统预留	系统预留	系统预留	系统预留		0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		121	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	6|6|6|6|6	360	6|6|6|6|6	-1	1	0	0	0	1	100	10	100	0	-1	-1	|生效一次的附加效果1	1|1|1|1|1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
#9	0	-1	系统预留	武士：攻击	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放		0	0	-1	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	2	200		121	-1	0	0	0	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	4	800	0	2	-1	1	-1	0	0	1	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	1	-1	6|6|6|6|6	360	6|6|6|6|6	-1	1	0	0	0	1	100	10	100	0	-1	-1	|生效一次的附加效果1	1|1|1|1|1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1	-1				0
########	公共技能	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########	########				
