INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
序号      对应道具表或装备表里的ID	名称      物品名称	使用等级      该道具对使用者的等级限制	类型      0搜侠录  1记忆棒  2拆卸道具  3炼化道具  4缝合道具	子类0      0入门搜侠录  1初级搜侠录  2中级搜侠录  3高级搜侠录  4特殊类型搜侠录	参数0      搜侠录页数上限 可填范围1-50	参数1      搜侠录技能页上限  可填范围1-20	参数2      搜侠录武器配方页上限  可填范围1-10	参数3      搜侠录神兽页上限  可填范围1-10	参数4      搜侠录坐骑页上限  可填范围1-10	子类1      1记录的是技能  2记录的是武器配方  3记录的是神兽召唤  4记录的是骑乘召唤  -1表示无效	参数0      该记忆棒记录的技能ID 支持XX~XX格式 与 XX|XX|XX格式	参数1      该记忆棒记录的武器配方ID 支持XX~XX格式 与 XX|XX|XX格式	参数2      该记忆棒记录的神兽召唤的技能ID 支持XX~XX格式 与 XX|XX|XX格式	参数3      该记忆棒记录的坐骑召唤的技能ID 支持XX~XX格式 与 XX|XX|XX格式	子类2	参数0	参数1	参数2	参数3	参数4	参数5	参数6	参数7	子类3	参数0	参数1	参数2	参数3	参数4	参数5	参数6	参数7	子类４	可使用次数
10291001	入门搜侠录	1	0	0	10	10	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10291002	初级搜侠录	1	0	1	20	10	10	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10291003	中级搜侠录	1	0	2	30	10	10	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10291004	高级搜侠录	1	0	3	40	10	10	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10291005	特殊类型搜侠录	1	0	4	50	20	10	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12110001	技能记忆棒	1	1	-1	-1	-1	-1	-1	-1	1	98	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12110002	武器配方记忆棒	1	1	-1	-1	-1	-1	-1	-1	2	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12110003	神兽召唤记忆棒	1	1	-1	-1	-1	-1	-1	-1	3	-1	-1	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3
12110004	坐骑召唤记忆棒	1	1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5
12112001	低级拆卸道具-拆技能-0	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
