INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	名称	类别	ToolTips	逻辑ID	隐形级别	陷阱专用标记	可激活次数	生存期持续特效	生存期持续音效	激发特效	激发音效	死亡特效	死亡音效	预留	预留	预留	 子弹ID	持续时间	激活或触发时间间隔	触发半径	影响半径	影响个体数目	预留	预留	预留	预留	预留	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	详细说明(内部使用)
301	定身陷阱	陷阱	1	0	10	2	1	触发_眩晕陷阱_01		击中_眩晕陷阱_01								30000	100	5	5	1						效果1	3211	效果2	-1	效果3几率	100	效果3	-1																									
302	定身陷阱	陷阱	1	0	10	2	1	触发_眩晕陷阱_01		击中_眩晕陷阱_01								30000	100	5	5	1						效果1	3212	效果2	-1	效果3几率	100	效果3	-1																									
303	定身陷阱	陷阱	1	0	10	2	1	触发_眩晕陷阱_01		击中_眩晕陷阱_01								30000	100	5	5	1						效果1	3213	效果2	-1	效果3几率	100	效果3	-1																									
304	定身陷阱	陷阱	1	0	10	2	1	触发_眩晕陷阱_01		击中_眩晕陷阱_01								30000	100	5	5	1						效果1	3214	效果2	-1	效果3几率	100	效果3	-1																									
305	定身陷阱	陷阱	1	0	10	2	1	触发_眩晕陷阱_01		击中_眩晕陷阱_01								30000	100	5	5	1						效果1	3215	效果2	-1	效果3几率	100	效果3	-1																									
311	爆裂陷阱	陷阱	1	0	10	3	30	触发_爆裂陷阱_01		击中_爆炸陷阱_01								30000	2000	5	5	30						效果1	3221	效果2	-1	效果3几率	100	效果3	-1																									
312	爆裂陷阱	陷阱	1	0	10	3	30	触发_爆裂陷阱_01		击中_爆炸陷阱_01								30000	2000	5	5	30						效果1	3222	效果2	-1	效果3几率	100	效果3	-1																									
313	爆裂陷阱	陷阱	1	0	10	3	30	触发_爆裂陷阱_01		击中_爆炸陷阱_01								30000	2000	5	5	30						效果1	3223	效果2	-1	效果3几率	100	效果3	-1																									
314	爆裂陷阱	陷阱	1	0	10	3	30	触发_爆裂陷阱_01		击中_爆炸陷阱_01								30000	2000	5	5	30						效果1	3224	效果2	-1	效果3几率	100	效果3	-1																									
315	爆裂陷阱	陷阱	1	0	10	3	30	触发_爆裂陷阱_01		击中_爆炸陷阱_01								30000	2000	5	5	30						效果1	3225	效果2	-1	效果3几率	100	效果3	-1																									
