INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT
Data_Index	逻辑ID	效果名称	逻辑ID的说明	是否是持续性效果	瞬发效果ID/驻留效果ID	分类ID(互斥用)	Data_Index	影响性质	死后是否保留	是否可以被技能驱散	是否可以被手动取消	是否需要引导支持	是否是直通效果	受到伤害时是否消失	开始动作时是否消失	下线就消失否	下线仍然计时否	总持续时间(毫秒)	发作时间间隔(毫秒)	互斥规则是否参考制造者ID	预留2	预留3	预留4	预留5	参数1说明	参数值	参数2说明	参数值	参数3说明	参数值	参数4说明	参数值	参数5说明	参数值	参数6说明	参数值	参数7说明	参数值	参数8说明	参数值	参数9说明	参数值	参数10说明	参数值	参数11说明	参数值	参数12说明	参数值	参数13说明	参数值	参数14说明	参数值	参数15说明	参数值	参数16说明	参数值	参数17说明	参数值	参数18说明	参数值	效果描述(内部使用)	小球个数	小球的生命周期
0	3	"普通攻击的伤害效果, 这一行永远不能删除或者改变.这是缺省效果."	STD_IMPACT_003	0	0	-1	0	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
1	4	"普通攻击的伤害效果, 这一行永远不能删除或者改变.这是缺省效果."	STD_IMPACT_003	0	0	-1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-10	魔法伤害	0					冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						0	0
2	4	"普通攻击的伤害效果, 这一行永远不能删除或者改变.这是缺省效果."	STD_IMPACT_003	0	0	-1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	-10	魔法伤害	0					冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						0	0
3	11	测试用SOT(MAXs)	StdImpact011	1	2	39	3	1	0	1	1	0	0	0	0	0	0	60000	0	0	0	0	0	0	远程内功攻击修正值	-10	远程内功防御修正值	10	远程外功攻击修改值	0	远程外功防御修正值	0	近程内功攻击修正值	-10	近程内功防御修正值	10	近程外功攻击修正值	-10	近程外功防御修正值	10	金攻击修正值	-10	金抗性修正值	10	木攻击修正	-10	木抗性修正值	10	水攻击修正值	10	水抗性修正值	20	火攻击修正值	5	火抗性修正值	3	土攻击修正值	0	土防御修正值	0		0	0
4	13	测试用SOT(HitMis...)	StdImpact013	1	62	86	4	1	0	1	1	0	0	0	0	0	0	60000	0	0	0	0	0	0	命中修正	10	闪避修正	20					会心修正	30																												0	0
5	14	测试用SOT(FaintUnbreakable...)	StdImpact014	1	98	110	5	-1	0	1	1	0	0	1	0	0	0	60000	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0					"可否移动标记：0-无法移动，1-可以移动）, -1无效"	0	"无敌否标记：0-非无敌，1-无敌）,-1无效"	1	移动速度修正%（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	-1																				0	0
6	14	测试用SOT(Stealth...)	StdImpact014	1	75	93	6	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0					"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	0	移动速度修正%（0为无效）	-50	隐身级别修正（0为无效）	10	反隐级别修正（0为无效）	-1																				0	0
7	14	测试用SOT(Transform...)	StdImpact014	1	32	52	7	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	"可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0					"可否移动标记：0-无法移动，1-可以移动）, -1无效"	-1	"无敌否标记：0-非无敌，1-无敌）,-1无效"	0	移动速度修正%（0为无效）	100	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	1																				0	0
8	51	分身	STD_IMPACT_051	1	149	149	8	0	0	1	1	0	0	0	0	1	0	-1	0	0	0	0	0	0																																						0	0
9	52	陷阱	STD_IMPACT_052	1	156	156	9	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0																																						0	0
10	3	武士：攻击	STD_IMPACT_003	0	110	-1	10	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	40	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
11	3	道士：冰雪弹	STD_IMPACT_003	0	111	-1	11	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	50	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
12	3	道士：冰锥	STD_IMPACT_003	0	112	-1	12	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	60	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
13	3	道士：霜之哀伤	STD_IMPACT_003	0	113	-1	13	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
14	3	道士：保命环	STD_IMPACT_003	0	113	-1	14	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	15	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
15	3	特技6	STD_IMPACT_003	0	115	-1	15	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	远程内功伤害值	0	远程外功伤害值	0	近程内功伤害值	0	近程外功伤害值	0	金伤害	0	木伤害	0	水伤害	0	火伤害	0	土伤害	0																					
