INT	INT	STRING	INT	STRING	STRING	STRING	INT	STRING	INT	STRING	INT
称号ID	TYPE	显示颜色	默认显示	男性称号	女性称号	称号描述	称号时限	获取途径	效果ID	回收原因	组合称号ID
0	2	#G	1	帮主	帮主	帮会的帮主。	5		100001		1
1	2	#G	1	自定义称号	自定义称号	帮会的自定义称号	5		0		2
2	1	#G	1	国王	国王	一国之君，无比荣耀					
3	1	#G	1	皇帝	皇帝	世界之王者，万国之圣君					
4	3	#B	1	%n的夫君	%n的娘子	夫妻称号	0		0		3
5	3	#C	0	武林壮士	武林侠女	武林大会比赛奖励	0	武林大会	100002	武林大会称号七天时效已经结束，称号自动消失	3
6	3	#fcjad3	0	马场大亨	马场大亨	马场大赛冠军称号	0	马场大赛	100003	马场大赛称号七天时效已经结束，称号自动消失	3
7	3	#fjcals4	0	独孤求败	独孤求败	古墓奇缘活动第一名称号	0	古墓奇缘	100004	古墓奇缘称号七天时效已经结束，称号自动消失	3
8	3	#C	0	富甲一方	腰缠万贯	这是一个组合称号。	0	通过100002配方获得	100005	ID称号七天时效已经结束，ID称号消失，组号称号消失	3
