INT	STRING
#	蔑里乞部
201000	\quest\mieliqibu\quest_mieliqibu_duoqizhihen.lua
201001	\quest\mieliqibu\quest_mieliqibu_xiaomiemieliqilieshou.lua
201002	\quest\mieliqibu\quest_mieliqibu_beiertiebeikun.lua
201003	\quest\mieliqibu\quest_mieliqibu_beiertiedekunhuo.lua
201004	\quest\mieliqibu\quest_mieliqibu_xieedesaman.lua
201005	\quest\mieliqibu\quest_mieliqibu_dongyingdibing.lua
201006	\quest\mieliqibu\quest_mieliqibu_zaijieanda.lua
201007	\quest\mieliqibu\quest_mieliqibu_xunzhaoxiansuo.lua
201008	\quest\mieliqibu\quest_mieliqibu_zhanshashouling.lua
201009	\quest\mieliqibu\quest_mieliqibu_wanghandefennu.lua
201010	\quest\mieliqibu\quest_mieliqibu_weishumubaochou.lua
201011	\quest\mieliqibu\quest_mieliqibu_miezu.lua
201012	\quest\mieliqibu\quest_mieliqibu_xieesamandelaochao.lua
201013	\quest\mieliqibu\quest_mieliqibu_manaijiu.lua
#	;克烈部
202000	\quest\keliebu\quest_keliebu_yiyahuanya.lua
202001	\quest\keliebu\quest_keliebu_zhandoudehaojiao.lua
202002	\quest\keliebu\quest_keliebu_bailuzhizhang.lua
202003	\quest\keliebu\quest_keliebu_zhuishasangkun.lua
202004	\quest\keliebu\quest_keliebu_zaoruanjindeshizhe.lua
202005	\quest\keliebu\quest_keliebu_chongfengxianzhen.lua
202006	\quest\keliebu\quest_keliebu_zhongyaojunqing.lua
202007	\quest\keliebu\quest_keliebu_bingqiku.lua
202008	\quest\keliebu\quest_keliebu_yanhuamantianfei.lua
202009	\quest\keliebu\quest_keliebu_yanmingdejunji.lua
202010	\quest\keliebu\quest_keliebu_pantaodejiangshi.lua
202011	\quest\keliebu\quest_keliebu_yigedoubiexiangzou.lua
#	;阿碧岛
203000	\quest\abidao\quest_abidao_canbing.lua
203001	\quest\abidao\quest_abidao_jindaofuma.lua
203002	\quest\abidao\quest_abidao_yaowu.lua
203003	\quest\abidao\quest_abidao_tinghuadelaoshu.lua
203004	\quest\abidao\quest_abidao_shiweidefuzhuang.lua
203005	\quest\abidao\quest_abidao_mabidiren.lua
203006	\quest\abidao\quest_abidao_yiwuzhanji.lua
203007	\quest\abidao\quest_abidao_tiaozhanzhishu.lua
203008	\quest\abidao\quest_abidao_famudeshibing.lua
203009	\quest\abidao\quest_abidao_xueruozhandouli.lua
203010	\quest\abidao\quest_abidao_shaoliangcao.lua
203011	\quest\abidao\quest_abidao_cishajiangjun.lua
203012	\quest\abidao\quest_abidao_yaoxiang.lua
#	;虎思城外
204000	\quest\husichengwai\quest_husichengwai_naimancanbu.lua
204001	\quest\husichengwai\quest_husichengwai_qiongkoubizhui.lua
204002	\quest\husichengwai\quest_husichengwai_kaifangqingzhensi.lua
204003	\quest\husichengwai\quest_husichengwai_jieshaxinshi.lua
204004	\quest\husichengwai\quest_husichengwai_halejiangjundeqiujiu.lua
204005	\quest\husichengwai\quest_husichengwai_dalahuanghou.lua
204006	\quest\husichengwai\quest_husichengwai_gaoguaderentou.lua
204007	\quest\husichengwai\quest_husichengwai_danliangdeshilian.lua
204008	\quest\husichengwai\quest_husichengwai_junlingrushan.lua
204009	\quest\husichengwai\quest_husichengwai_dashandehaizi.lua
204010	\quest\husichengwai\quest_husichengwai_quchulvdeshouduan.lua
204011	\quest\husichengwai\quest_husichengwai_bingbian.lua
#	;红沙漠
205000	\quest\hongshamo\quest_hongshamo_shangduidetuanzhang.lua
205001	\quest\hongshamo\quest_hongshamo_zhongyaodexinjian.lua
205002	\quest\hongshamo\quest_hongshamo_yongshidejianzheng.lua
205003	\quest\hongshamo\quest_hongshamo_wushizhengshu.lua
205004	\quest\hongshamo\quest_hongshamo_shuinang.lua
205005	\quest\hongshamo\quest_hongshamo_lvzhou.lua
205006	\quest\hongshamo\quest_hongshamo_chengjisihandexin.lua
205007	\quest\hongshamo\quest_hongshamo_tuweichuqu.lua
205008	\quest\hongshamo\quest_hongshamo_xuweidemianju.lua
205009	\quest\hongshamo\quest_hongshamo_shangduidenvren.lua
205010	\quest\hongshamo\quest_hongshamo_beipanzhenzhudexiachang.lua
205011	\quest\hongshamo\quest_hongshamo_yibandecaifu.lua
205012	\quest\hongshamo\quest_hongshamo_weibeidenuoyan.lua
205013	\quest\hongshamo\quest_hongshamo_shiyedehua.lua
#	;居庸关
206000	\quest\juyongguan\quest_juyongguan_zhanshagaoguochelundejinren.lua
206001	\quest\juyongguan\quest_juyongguan_xiaomietaowangdejinbing.lua
206002	\quest\juyongguan\quest_juyongguan_panjundezongji.lua
206003	\quest\juyongguan\quest_juyongguan_shaosipanjun.lua
206004	\quest\juyongguan\quest_juyongguan_zhaodaobeilu.lua
206005	\quest\juyongguan\quest_juyongguan_taomu.lua
206006	\quest\juyongguan\quest_juyongguan_mafutiegucha.lua
206007	\quest\juyongguan\quest_juyongguan_haerzhenzhifu.lua
206008	\quest\juyongguan\quest_juyongguan_qiannianguiwangdeyanlei.lua
206009	\quest\juyongguan\quest_juyongguan_huhuashizhe.lua
206010	\quest\juyongguan\quest_juyongguan_guangrongdesishi.lua
206011	\quest\juyongguan\quest_juyongguan_wubiandedengdai.lua
206012	\quest\juyongguan\quest_juyongguan_direndeweituo.lua
#	;蔡州城外
207000	\quest\caizhouchengwai\quest_caizhouchengwai_chengfapanjun.lua
207001	\quest\caizhouchengwai\quest_caizhouchengwai_yusonglianjun.lua
207002	\quest\caizhouchengwai\quest_caizhouchengwai_yizhandetongdao.lua
207003	\quest\caizhouchengwai\quest_caizhouchengwai_jinbingdefuji.lua
