INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
装备分值	[棍武僧]属性组1	[棍武僧]属性组2	[棍武僧]属性组3	[棍武僧]属性组4	[棍武僧]属性组5	[棍武僧]属性组6	[棍武僧]属性组7	[棍武僧]属性组8	[铁罗汉]属性组1	[铁罗汉]属性组2	[铁罗汉]属性组3	[铁罗汉]属性组4	[铁罗汉]属性组5	[铁罗汉]属性组6	[铁罗汉]属性组7	[铁罗汉]属性组8	[棍丐帮]属性组1	[棍丐帮]属性组2	[棍丐帮]属性组3	[棍丐帮]属性组4	[棍丐帮]属性组5	[棍丐帮]属性组6	[棍丐帮]属性组7	[棍丐帮]属性组8	[掌丐帮]属性组1	[掌丐帮]属性组2	[掌丐帮]属性组3	[掌丐帮]属性组4	[掌丐帮]属性组5	[掌丐帮]属性组6	[掌丐帮]属性组7	[掌丐帮]属性组8	[剑武当]属性组1	[剑武当]属性组2	[剑武当]属性组3	[剑武当]属性组4	[剑武当]属性组5	[剑武当]属性组6	[剑武当]属性组7	[剑武当]属性组8	[气武当]属性组1	[气武当]属性组2	[气武当]属性组3	[气武当]属性组4	[气武当]属性组5	[气武当]属性组6	[气武当]属性组7	[气武当]属性组8	[刀唐]属性组1	[刀唐]属性组2	[刀唐]属性组3	[刀唐]属性组4	[刀唐]属性组5	[刀唐]属性组6	[刀唐]属性组7	[刀唐]属性组8	[陷阱唐]属性组1	[陷阱唐]属性组2	[陷阱唐]属性组3	[陷阱唐]属性组4	[陷阱唐]属性组5	[陷阱唐]属性组6	[陷阱唐]属性组7	[陷阱唐]属性组8	[扇逍遥]属性组1	[扇逍遥]属性组2	[扇逍遥]属性组3	[扇逍遥]属性组4	[扇逍遥]属性组5	[扇逍遥]属性组6	[扇逍遥]属性组7	[扇逍遥]属性组8	[指逍遥]属性组1	[指逍遥]属性组2	[指逍遥]属性组3	[指逍遥]属性组4	[指逍遥]属性组5	[指逍遥]属性组6	[指逍遥]属性组7	[指逍遥]属性组8	[狂药王]属性组1	[狂药王]属性组2	[狂药王]属性组3	[狂药王]属性组4	[狂药王]属性组5	[狂药王]属性组6	[狂药王]属性组7	[狂药王]属性组8	[医药王]属性组1	[医药王]属性组2	[医药王]属性组3	[医药王]属性组4	[医药王]属性组5	[医药王]属性组6	[医药王]属性组7	[医药王]属性组8	[笛桃花]属性组1	[笛桃花]属性组2	[笛桃花]属性组3	[笛桃花]属性组4	[笛桃花]属性组5	[笛桃花]属性组6	[笛桃花]属性组7	[笛桃花]属性组8	[音桃花]属性组1	[音桃花]属性组2	[音桃花]属性组3	[音桃花]属性组4	[音桃花]属性组5	[音桃花]属性组6	[音桃花]属性组7	[音桃花]属性组8	[刺峨眉]属性组1	[刺峨眉]属性组2	[刺峨眉]属性组3	[刺峨眉]属性组4	[刺峨眉]属性组5	[刺峨眉]属性组6	[刺峨眉]属性组7	[刺峨眉]属性组8	[辅峨眉]属性组1	[辅峨眉]属性组2	[辅峨眉]属性组3	[辅峨眉]属性组4	[辅峨眉]属性组5	[辅峨眉]属性组6	[辅峨眉]属性组7	[辅峨眉]属性组8	[无门派]属性组1	[无门派]属性组2	[无门派]属性组3	[无门派]属性组4	[无门派]属性组5	[无门派]属性组6	[无门派]属性组7	[无门派]属性组8
1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	-1	-1	-1	-1	-1	-1
5	0|2|4|6	0|2|4|6	12|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	12|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	14|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	14|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1	0|2|4|6	0|2|4|6	10|16|18|20	-1	-1	-1	-1	-1
21	0|2|4|6|22	0|2|4|6|22	12|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	12|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	14|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	14|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	-1	-1	-1	-1
85	0|2|4|6|22	0|2|4|6|22	12|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	12|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	14|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	14|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	-1	-1	-1
341	0|2|4|6|22	0|2|4|6|22	12|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	12|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	14|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	14|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1	0|2|4|6|22	0|2|4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	-1	-1
1365	0|6|22	0|6|22	12|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	0|6|22	0|6|22	12|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	2|6|22	2|6|22	14|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	2|6|22	2|6|22	14|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1
5461	0|6|22	0|6|22	12|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	0|6|22	0|6|22	12|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	2|6|22	2|6|22	14|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	2|6|22	2|6|22	14|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1
21845	0|6|22	0|6|22	12|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	0|6|22	0|6|22	12|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	2|6|22	2|6|22	14|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	2|6|22	2|6|22	14|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1
87381	0|6|22	0|6|22	12|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	0|6|22	0|6|22	12|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	2|6|22	2|6|22	14|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	2|6|22	2|6|22	14|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1	4|6|22	4|6|22	10|16|18|20	50|51|94	53|54|97	53|54|97	53|54|97	-1
