INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2	ItemID	Rate1	Rate2
1	11000001	10	37	11010004	20	37	11020002	40	37	11020012	80	37	11960007	160	37	11980018	30	30	11980037	20	19	11980048	1	10	11980059	20	19	12010007	20	19	12020007	20	19	12051001	20	19	12052001	20	19	12053001	20	19	12054001	20	19																																													
2	11000002	20	33	11010005	40	33	11020003	80	33	11030001	160	33	11960008	320	33	11980019	40	40	11980038	80	17	11980049	2	9	11990001	80	17	12010008	80	17	12020008	80	17	12051002	80	17	12052002	80	17	12053002	80	17	12054002	80	17																																													
3	11000003	30	29	11010006	60	29	11020004	120	29	11040001	240	29	11960009	480	29	11980020	50	50	11980039	140	15	11980051	3	8	11990002	140	15	12010009	140	15	12020009	140	15	12051003	140	15	12052003	140	15	12053003	140	15	12054003	140	15																																													
4	11000004	40	25	11010007	80	25	11020005	160	25	11050001	320	25	11960010	640	25	11980021	60	60	11980041	200	13	11980052	4	7	11990003	200	13	12010010	200	13	12020010	200	13	12051004	200	13	12052004	200	13	12053004	200	13	12054004	200	13																																													
5	11000005	50	21	11010008	100	21	11020006	200	21	11960001	400	21	11970001	800	21	11980031	70	70	11980042	260	11	11980053	5	6	12010001	260	11	12020001	260	11	12030001	260	11	12051005	260	11	12052005	260	11	12053005	260	11	12054005	260	11																																													
6	11000006	60	17	11010009	120	17	11020007	240	17	11960002	480	17	11970011	960	17	11980032	80	80	11980043	320	9	11980054	6	5	12010002	320	9	12020002	320	9	12030002	320	9	12051006	320	9	12052006	320	9	12053006	320	9	12054006	320	9																																													
7	11000007	70	13	11010010	140	13	11020008	280	13	11960003	560	13	11970021	1120	13	11980033	90	90	11980044	380	7	11980055	7	4	12010003	380	7	12020003	380	7	12030003	380	7	12051007	380	7	12052007	380	7	12053007	380	7	12054007	380	7																																													
8	11010001	80	9	11010011	160	9	11020009	320	9	11960004	640	9	11980015	1280	9	11980034	100	100	11980045	440	5	11980056	8	3	12010004	440	5	12020004	440	5	12030004	440	5	12051008	440	5	12052008	440	5	12053008	440	5	12054008	440	5																																													
9	11010002	90	5	11010012	180	5	11020010	360	5	11960005	720	5	11980016	1440	5	11980035	110	110	11980046	500	3	11980057	9	2	12010005	500	3	12020005	500	3	12030005	500	3	12051009	500	3	12052009	500	3	12053009	500	3	12054009	500	3																																													
10	11010003	100	1	11020001	200	1	11020011	400	1	11960006	800	1	11980017	1600	1	11980036	120	120	11980047	560	1	11980058	10	1	12010006	560	1	12020006	560	1	12051000	560	1	12052000	560	1	12053000	560	1	12054000	560	1	12055000	560	1																																													
