INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
序号	国家ID	职业ID	起始场景ID	出生X坐标	出生Y坐标	初始阵营	初始等级	初始经验	初始生命	初始魔法(以后要改成怒气)	初始元气	初始活力上限	初始战斗技能1	初始战斗技能2	初始战斗技能3	初始战斗技能4	初始战斗技能5	初始生活技能1	初始生活技能2	初始生活技能3	初始生活技能4	初始生活技能5	初始普通技能1	初始普通技能2	初始普通技能3	初始普通技能4	初始普通技能5	初始金钱
0	0	0	3	47	46	0	1	0	100000	1	50	1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
1	0	1	3	47	46	0	1	0	100000	2	50	2	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
2	0	2	3	47	46	0	1	0	100000	3	50	3	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
3	0	3	3	47	46	0	1	0	100000	4	50	4	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
4	0	4	3	47	46	0	1	0	100000	5	50	5	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
5	0	5	3	47	46	0	1	0	100000	6	50	6	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
6	0	6	3	47	46	0	1	0	100000	7	50	7	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
7	0	7	3	47	46	0	1	0	100000	8	50	8	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
8	0	8	3	47	46	0	1	0	100000	9	50	9	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
9	0	9	3	47	46	0	1	0	100000	10	50	10	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
10	0	10	3	47	46	0	1	0	100000	11	50	11	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
11	0	11	3	47	46	0	1	0	100000	12	50	12	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
12	0	12	3	47	46	0	1	0	100000	13	50	13	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
13	0	13	3	47	46	0	1	0	100000	14	50	14	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
14	0	14	3	47	46	0	1	0	100000	15	50	15	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
15	0	15	3	47	46	0	1	0	100000	16	50	16	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
16	1	0	3	47	46	0	1	0	100000	17	50	17	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
17	1	1	3	47	46	0	1	0	100000	18	50	18	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
18	1	2	3	47	46	0	1	0	100000	19	50	19	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
19	1	3	3	47	46	0	1	0	100000	20	50	20	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
20	1	4	3	47	46	0	1	0	100000	21	50	21	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
21	1	5	3	47	46	0	1	0	100000	22	50	22	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
22	1	6	3	47	46	0	1	0	100000	23	50	23	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
23	1	7	3	47	46	0	1	0	100000	24	50	24	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
24	1	8	3	47	46	0	1	0	100000	25	50	25	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
25	1	9	3	47	46	0	1	0	100000	26	50	26	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
26	1	10	3	47	46	0	1	0	100000	27	50	27	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
27	1	11	3	47	46	0	1	0	100000	28	50	28	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
28	1	12	3	47	46	0	1	0	100000	29	50	29	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
29	1	13	3	47	46	0	1	0	100000	30	50	30	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
30	1	14	3	47	46	0	1	0	100000	31	50	31	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
31	1	15	3	47	46	0	1	0	100000	32	50	32	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
32	2	0	3	47	46	0	1	0	100000	33	50	33	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
33	2	1	3	47	46	0	1	0	100000	34	50	34	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
34	2	2	3	47	46	0	1	0	100000	35	50	35	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
35	2	3	3	47	46	0	1	0	100000	36	50	36	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
36	2	4	3	47	46	0	1	0	100000	37	50	37	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
37	2	5	3	47	46	0	1	0	100000	38	50	38	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
38	2	6	3	47	46	0	1	0	100000	39	50	39	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
39	2	7	3	47	46	0	1	0	100000	40	50	40	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
40	2	8	3	47	46	0	1	0	100000	41	50	41	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
41	2	9	3	47	46	0	1	0	100000	42	50	42	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
42	2	10	3	47	46	0	1	0	100000	43	50	43	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
43	2	11	3	47	46	0	1	0	100000	44	50	44	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
44	2	12	3	47	46	0	1	0	100000	45	50	45	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
45	2	13	3	47	46	0	1	0	100000	46	50	46	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
46	2	14	3	47	46	0	1	0	100000	47	50	47	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
47	2	15	3	47	46	0	1	0	100000	48	50	48	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
48	3	0	3	47	46	0	1	0	100000	49	50	49	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
49	3	1	3	47	46	0	1	0	100000	50	50	50	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
50	3	2	3	47	46	0	1	0	100000	51	50	51	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
51	3	3	3	47	46	0	1	0	100000	52	50	52	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
52	3	4	3	47	46	0	1	0	100000	53	50	53	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
53	3	5	3	47	46	0	1	0	100000	54	50	54	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
54	3	6	3	47	46	0	1	0	100000	55	50	55	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
55	3	7	3	47	46	0	1	0	100000	56	50	56	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
56	3	8	3	47	46	0	1	0	100000	57	50	57	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	100000
