INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
级别	少林派[棍武僧]力道	少林派[棍武僧]体质	少林派[棍武僧]内力	少林派[棍武僧]身法	少林派[棍武僧]技能点	少林派[铁罗汉]力道	少林派[铁罗汉]体质	少林派[铁罗汉]内力	少林派[铁罗汉]身法	少林派[铁罗汉]技能点	丐帮[棍丐帮]力道	丐帮[棍丐帮]体质	丐帮[棍丐帮]内力	丐帮[棍丐帮]身法	丐帮[棍丐帮]技能点	丐帮[掌丐帮]力道	丐帮[掌丐帮]体质	丐帮[掌丐帮]内力	丐帮[掌丐帮]身法	丐帮[掌丐帮]技能点	武当派[剑武当]力道	武当派[剑武当]体质	武当派[剑武当]内力	武当派[剑武当]身法	武当派[剑武当]技能点	武当派[气武当]力道	武当派[气武当]体质	武当派[气武当]内力	武当派[气武当]身法	武当派[气武当]技能点	唐门[刀唐]力道	唐门[刀唐]体质	唐门[刀唐]内力	唐门[刀唐]身法	唐门[刀唐]技能点	唐门[陷阱唐]力道	唐门[陷阱唐]体质	唐门[陷阱唐]内力	唐门[陷阱唐]身法	唐门[陷阱唐]技能点	逍遥派[扇逍遥]力道	逍遥派[扇逍遥]体质	逍遥派[扇逍遥]内力	逍遥派[扇逍遥]身法	逍遥派[扇逍遥]技能点	逍遥派[指逍遥]力道	逍遥派[指逍遥]体质	逍遥派[指逍遥]内力	逍遥派[指逍遥]身法	逍遥派[指逍遥]技能点	药王谷[狂药王]力道	药王谷[狂药王]体质	药王谷[狂药王]内力	药王谷[狂药王]身法	药王谷[狂药王]技能点	药王谷[医药王]力道	药王谷[医药王]体质	药王谷[医药王]内力	药王谷[医药王]身法	药王谷[医药王]技能点	桃花岛[笛桃花]力道	桃花岛[笛桃花]体质	桃花岛[笛桃花]内力	桃花岛[笛桃花]身法	桃花岛[笛桃花]技能点	桃花岛[音桃花]力道	桃花岛[音桃花]体质	桃花岛[音桃花]内力	桃花岛[音桃花]身法	桃花岛[音桃花]技能点	峨嵋派[刺峨眉]力道	峨嵋派[刺峨眉]体质	峨嵋派[刺峨眉]内力	峨嵋派[刺峨眉]身法	峨嵋派[刺峨眉]技能点	峨嵋派[辅峨眉]力道	峨嵋派[辅峨眉]体质	峨嵋派[辅峨眉]内力	峨嵋派[辅峨眉]身法	峨嵋派[辅峨眉]技能点	无门派力道	无门派体质	无门派内力	无门派身法	其它技能点
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6	5	0	0	0	0	9	0	2	0	12	0	0	0	0	12	0	0	0	0	0	12	0	0	0	0	5	6	0	0	6	0	0	5	0	0	0	6	5	0	4	0	8	0	0	0	0	0	12	0	6	0	0	5	0	0	0	9	2	0	5	0	6	0	0	0	0	8	4	0	4	0	0	8	0	0	5	6	0	0	3	3	3	3	0
2	8	7	0	0	0	0	12	0	3	0	16	0	0	0	0	16	0	0	0	0	0	16	0	0	0	0	7	8	0	0	8	0	0	7	0	0	0	8	7	0	5	0	10	0	0	0	0	0	16	0	8	0	0	7	0	0	0	12	3	0	7	0	8	0	0	0	0	10	5	0	5	0	0	10	0	0	7	8	0	0	4	4	4	4	0
3	10	9	0	0	0	0	16	0	4	0	20	0	0	0	0	20	0	0	0	0	0	20	0	0	0	0	9	10	0	0	10	0	0	9	0	0	0	10	9	0	6	0	13	0	0	0	0	0	20	0	10	0	0	9	0	0	0	16	4	0	9	0	10	0	0	0	0	13	6	0	6	0	0	13	0	0	9	10	0	0	5	5	5	5	0
4	12	11	0	0	0	0	19	0	4	0	24	0	0	0	0	24	0	0	0	0	0	24	0	0	0	0	11	12	0	0	12	0	0	11	0	0	0	12	11	0	8	0	16	0	0	0	0	0	24	0	12	0	0	11	0	0	0	19	4	0	11	0	12	0	0	0	0	16	8	0	8	0	0	16	0	0	11	12	0	0	6	6	6	6	0
5	14	13	0	0	0	0	22	0	5	0	28	0	0	0	0	28	0	0	0	0	0	28	0	0	0	0	13	14	0	0	14	0	0	13	0	0	0	14	13	0	9	0	18	0	0	0	0	0	28	0	14	0	0	13	0	0	0	22	5	0	13	0	14	0	0	0	0	18	9	0	9	0	0	18	0	0	13	14	0	0	7	7	7	7	0
6	17	14	0	0	0	0	25	0	6	0	32	0	0	0	0	32	0	0	0	0	0	32	0	0	0	0	14	17	0	0	17	0	0	14	0	0	0	17	14	0	10	0	21	0	0	0	0	0	32	0	17	0	0	14	0	0	0	25	6	0	14	0	17	0	0	0	0	21	10	0	10	0	0	21	0	0	14	17	0	0	8	8	8	8	0
7	19	16	0	0	0	0	28	0	7	0	36	0	0	0	0	36	0	0	0	0	0	36	0	0	0	0	16	19	0	0	19	0	0	16	0	0	0	19	16	0	12	0	24	0	0	0	0	0	36	0	19	0	0	16	0	0	0	28	7	0	16	0	19	0	0	0	0	24	12	0	12	0	0	24	0	0	16	19	0	0	9	9	9	9	0
8	21	18	0	0	0	0	32	0	8	0	40	0	0	0	0	40	0	0	0	0	0	40	0	0	0	0	18	21	0	0	21	0	0	18	0	0	0	21	18	0	13	0	26	0	0	0	0	0	40	0	21	0	0	18	0	0	0	32	8	0	18	0	21	0	0	0	0	26	13	0	13	0	0	26	0	0	18	21	0	0	10	10	10	10	0
9	23	20	0	0	0	0	35	0	8	0	44	0	0	0	0	44	0	0	0	0	0	44	0	0	0	0	20	23	0	0	23	0	0	20	0	0	0	23	20	0	14	0	29	0	0	0	0	0	44	0	23	0	0	20	0	0	0	35	8	0	20	0	23	0	0	0	0	29	14	0	14	0	0	29	0	0	20	23	0	0	11	11	11	11	0
10	25	22	0	0	0	0	38	0	9	0	48	0	0	0	0	48	0	0	0	0	0	48	0	0	0	0	22	25	0	0	25	0	0	22	0	0	0	25	22	0	16	0	32	0	0	0	0	0	48	0	25	0	0	22	0	0	0	38	9	0	22	0	25	0	0	0	0	32	16	0	16	0	0	32	0	0	22	25	0	0	12	12	12	12	0
11	27	24	0	0	0	0	41	0	10	0	52	0	0	0	0	52	0	0	0	0	0	52	0	0	0	0	24	27	0	0	27	0	0	24	0	0	0	27	24	0	17	0	34	0	0	0	0	0	52	0	27	0	0	24	0	0	0	41	10	0	24	0	27	0	0	0	0	34	17	0	17	0	0	34	0	0	24	27	0	0	13	13	13	13	0
12	29	26	0	0	0	0	44	0	11	0	56	0	0	0	0	56	0	0	0	0	0	56	0	0	0	0	26	29	0	0	29	0	0	26	0	0	0	29	26	0	18	0	37	0	0	0	0	0	56	0	29	0	0	26	0	0	0	44	11	0	26	0	29	0	0	0	0	37	18	0	18	0	0	37	0	0	26	29	0	0	14	14	14	14	0
13	32	28	0	0	0	0	48	0	12	0	60	0	0	0	0	60	0	0	0	0	0	60	0	0	0	0	28	32	0	0	32	0	0	28	0	0	0	32	28	0	20	0	40	0	0	0	0	0	60	0	32	0	0	28	0	0	0	48	12	0	28	0	32	0	0	0	0	40	20	0	20	0	0	40	0	0	28	32	0	0	15	15	15	15	0
14	34	29	0	0	0	0	51	0	12	0	64	0	0	0	0	64	0	0	0	0	0	64	0	0	0	0	29	34	0	0	34	0	0	29	0	0	0	34	29	0	21	0	42	0	0	0	0	0	64	0	34	0	0	29	0	0	0	51	12	0	29	0	34	0	0	0	0	42	21	0	21	0	0	42	0	0	29	34	0	0	16	16	16	16	0
15	36	31	0	0	0	0	54	0	13	0	68	0	0	0	0	68	0	0	0	0	0	68	0	0	0	0	31	36	0	0	36	0	0	31	0	0	0	36	31	0	22	0	45	0	0	0	0	0	68	0	36	0	0	31	0	0	0	54	13	0	31	0	36	0	0	0	0	45	22	0	22	0	0	45	0	0	31	36	0	0	17	17	17	17	0
16	38	33	0	0	0	0	57	0	14	0	72	0	0	0	0	72	0	0	0	0	0	72	0	0	0	0	33	38	0	0	38	0	0	33	0	0	0	38	33	0	24	0	48	0	0	0	0	0	72	0	38	0	0	33	0	0	0	57	14	0	33	0	38	0	0	0	0	48	24	0	24	0	0	48	0	0	33	38	0	0	18	18	18	18	0
17	40	35	0	0	0	0	60	0	15	0	76	0	0	0	0	76	0	0	0	0	0	76	0	0	0	0	35	40	0	0	40	0	0	35	0	0	0	40	35	0	25	0	50	0	0	0	0	0	76	0	40	0	0	35	0	0	0	60	15	0	35	0	40	0	0	0	0	50	25	0	25	0	0	50	0	0	35	40	0	0	19	19	19	19	0
18	42	37	0	0	0	0	64	0	16	0	80	0	0	0	0	80	0	0	0	0	0	80	0	0	0	0	37	42	0	0	42	0	0	37	0	0	0	42	37	0	26	0	53	0	0	0	0	0	80	0	42	0	0	37	0	0	0	64	16	0	37	0	42	0	0	0	0	53	26	0	26	0	0	53	0	0	37	42	0	0	20	20	20	20	0
19	44	39	0	0	0	0	67	0	16	0	84	0	0	0	0	84	0	0	0	0	0	84	0	0	0	0	39	44	0	0	44	0	0	39	0	0	0	44	39	0	28	0	56	0	0	0	0	0	84	0	44	0	0	39	0	0	0	67	16	0	39	0	44	0	0	0	0	56	28	0	28	0	0	56	0	0	39	44	0	0	21	21	21	21	0
20	46	41	0	0	0	0	70	0	17	0	88	0	0	0	0	88	0	0	0	0	0	88	0	0	0	0	41	46	0	0	46	0	0	41	0	0	0	46	41	0	29	0	58	0	0	0	0	0	88	0	46	0	0	41	0	0	0	70	17	0	41	0	46	0	0	0	0	58	29	0	29	0	0	58	0	0	41	46	0	0	22	22	22	22	0
21	49	42	0	0	0	0	73	0	18	0	92	0	0	0	0	92	0	0	0	0	0	92	0	0	0	0	42	49	0	0	49	0	0	42	0	0	0	49	42	0	30	0	61	0	0	0	0	0	92	0	49	0	0	42	0	0	0	73	18	0	42	0	49	0	0	0	0	61	30	0	30	0	0	61	0	0	42	49	0	0	23	23	23	23	0
22	51	44	0	0	0	0	76	0	19	0	96	0	0	0	0	96	0	0	0	0	0	96	0	0	0	0	44	51	0	0	51	0	0	44	0	0	0	51	44	0	32	0	64	0	0	0	0	0	96	0	51	0	0	44	0	0	0	76	19	0	44	0	51	0	0	0	0	64	32	0	32	0	0	64	0	0	44	51	0	0	24	24	24	24	0
23	53	46	0	0	0	0	80	0	20	0	100	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	46	53	0	0	53	0	0	46	0	0	0	53	46	0	33	0	66	0	0	0	0	0	100	0	53	0	0	46	0	0	0	80	20	0	46	0	53	0	0	0	0	66	33	0	33	0	0	66	0	0	46	53	0	0	25	25	25	25	0
24	55	48	0	0	0	0	83	0	20	0	104	0	0	0	0	104	0	0	0	0	0	104	0	0	0	0	48	55	0	0	55	0	0	48	0	0	0	55	48	0	34	0	69	0	0	0	0	0	104	0	55	0	0	48	0	0	0	83	20	0	48	0	55	0	0	0	0	69	34	0	34	0	0	69	0	0	48	55	0	0	26	26	26	26	0
25	57	50	0	0	0	0	86	0	21	0	108	0	0	0	0	108	0	0	0	0	0	108	0	0	0	0	50	57	0	0	57	0	0	50	0	0	0	57	50	0	36	0	72	0	0	0	0	0	108	0	57	0	0	50	0	0	0	86	21	0	50	0	57	0	0	0	0	72	36	0	36	0	0	72	0	0	50	57	0	0	27	27	27	27	0
