INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
属性组ID	属性组名	属性组概率（总概率10000，每个的概率=当前-上一个）	等级限制	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID	影响属性ID
1	白虎	223	-1	6	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	青龙	223	-1	0	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	苍狼	223	-1	2	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	麒鹿	223	-1	6	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	玄鸟	223	-1	6	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	朱凤	223	-1	4	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	近程攻击+近程防御	223	20	12	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	远程攻击+远程防御	223	20	14	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	魔法攻击+魔法防御	223	20	10	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	体质+近程攻击+命中	223	30	6	12	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	力量+生命值+命中	222	30	0	22	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	敏捷+生命值+命中	222	30	2	22	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	体质+远程攻击+命中	222	30	6	14	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	体质+魔法攻击+命中	222	30	6	10	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	智力+生命值+命中	222	30	4	22	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	近程攻击+近程防御+命中	222	30	12	18	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	远程攻击+远程防御+命中	222	30	14	20	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	魔法攻击+魔法防御+命中	222	30	10	16	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	体质+近程攻击+闪避	222	30	6	12	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	力量+生命值+闪避	222	30	0	22	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	敏捷+生命值+闪避	222	30	2	22	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	体质+远程攻击+闪避	222	30	6	14	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	体质+魔法攻击+闪避	222	30	6	10	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	智力+生命值+闪避	222	30	4	22	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	近程攻击+近程防御+闪避	222	30	12	18	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	远程攻击+远程防御+闪避	222	30	14	20	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	魔法攻击+魔法防御+闪避	222	30	10	16	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	体质+近程攻击+爆击	222	50	6	12	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
