INT	FLOAT	FLOAT	FLOAT	FLOAT
Delta LvlNpc -LvlPlayer	Rate	ExpRate	TeamRate	TeamExpRate
-105	0.1	0.1	0.1	0.1
-104	0.1	0.1	0.1	0.1
-103	0.1	0.1	0.1	0.1
-102	0.1	0.1	0.1	0.1
-101	0.1	0.1	0.1	0.1
-100	0.1	0.1	0.1	0.1
-99	0.1	0.1	0.1	0.1
-98	0.1	0.1	0.1	0.1
-97	0.1	0.1	0.1	0.1
-96	0.1	0.1	0.1	0.1
-95	0.1	0.1	0.1	0.1
-94	0.1	0.1	0.1	0.1
-93	0.1	0.1	0.1	0.1
-92	0.1	0.1	0.1	0.1
-91	0.1	0.1	0.1	0.1
-90	0.1	0.1	0.1	0.1
-89	0.1	0.1	0.1	0.1
-88	0.1	0.1	0.1	0.1
-87	0.1	0.1	0.1	0.1
-86	0.1	0.1	0.1	0.1
-85	0.1	0.1	0.1	0.1
-84	0.1	0.1	0.1	0.1
-83	0.1	0.1	0.1	0.1
-82	0.1	0.1	0.1	0.1
-81	0.1	0.1	0.1	0.1
-80	0.1	0.1	0.1	0.1
-79	0.1	0.1	0.1	0.1
-78	0.1	0.1	0.1	0.1
-77	0.1	0.1	0.1	0.1
-76	0.1	0.1	0.1	0.1
-75	0.1	0.1	0.1	0.1
-74	0.1	0.1	0.1	0.1
-73	0.1	0.1	0.1	0.1
-72	0.1	0.1	0.1	0.1
-71	0.1	0.1	0.1	0.1
-70	0.1	0.1	0.1	0.1
-69	0.101	0.101	0.101	0.101
-68	0.101	0.101	0.101	0.101
-67	0.102	0.102	0.102	0.102
-66	0.103	0.103	0.103	0.103
-65	0.105	0.105	0.105	0.105
-64	0.107	0.107	0.107	0.107
-63	0.11	0.11	0.11	0.11
-62	0.112	0.112	0.112	0.112
-61	0.115	0.115	0.115	0.115
-60	0.118	0.118	0.118	0.118
-59	0.123	0.123	0.123	0.123
-58	0.128	0.128	0.128	0.128
-57	0.134	0.134	0.134	0.134
-56	0.139	0.139	0.139	0.139
-55	0.147	0.147	0.147	0.147
-54	0.157	0.157	0.157	0.157
-53	0.166	0.166	0.166	0.166
-52	0.177	0.177	0.177	0.177
-51	0.189	0.189	0.189	0.189
-50	0.204	0.204	0.204	0.204
-49	0.222	0.222	0.222	0.222
-48	0.24	0.24	0.24	0.24
-47	0.26	0.26	0.26	0.26
-46	0.28	0.28	0.28	0.28
