INT	FLOAT
Delta LvlNpc -LvlPlayer	Rate
-100	0
-99	0
-98	0
-97	0
-96	0
-95	0
-94	0
-93	0
-92	0
-91	0
-90	0
-89	0
-88	0
-87	0
-86	0
-85	0
-84	0
-83	0
-82	0
-81	0
-80	0
-79	0
-78	0
-77	0
-76	0
-75	0
-74	0
-73	0
-72	0
-71	0
-70	0
-69	0
-68	0
-67	0
-66	0
-65	0
-64	0
-63	0
-62	0
-61	0
-60	0
-59	0
-58	0
-57	0
-56	0
-55	0
-54	0
-53	0
-52	0
-51	0
-50	0
-49	0
-48	0
-47	0
-46	0
-45	0
-44	0
-43	0
-42	0
-41	0
-40	0
-39	0
-38	0
-37	0
-36	0
-35	0
-34	0
-33	0
-32	0
-31	0
-30	0
-29	0
-28	0
-27	0
-26	0
-25	0
-24	0
-23	0
-22	0
-21	0
-20	0
-19	0.1
-18	0.1
-17	0.1
-16	0.1
-15	0.1
-14	0.4
-13	0.4
-12	0.4
-11	0.4
-10	0.4
-9	0.7
-8	0.7
-7	0.7
-6	0.7
-5	0.7
-4	1
-3	1
-2	1
-1	1
0	1
1	1
2	1
3	1
4	1
5	0.998
6	0.996
7	0.994
8	0.992
9	0.99
10	0.986
11	0.982
12	0.978
13	0.974
14	0.97
15	0.964
16	0.958
17	0.952
18	0.946
19	0.94
20	0.93
21	0.92
22	0.91
23	0.9
24	0.89
25	0.872
26	0.856
27	0.838
28	0.82
29	0.8
30	0.78
31	0.76
32	0.74
33	0.72
34	0.7
35	0.68
36	0.66
37	0.64
38	0.62
39	0.6
40	0.58
41	0.56
42	0.54
43	0.52
44	0.5
45	0.48
46	0.46
47	0.44
48	0.42
49	0.4
50	0.38
51	0.36
52	0.34
53	0.32
54	0.3
55	0.28
56	0.26
57	0.24
58	0.22
59	0.2
60	0.186
61	0.17
62	0.154
63	0.138
64	0.126
65	0.114
66	0.102
67	0.09
68	0.082
69	0.074
70	0.066
71	0.058
72	0.054
73	0.05
74	0.046
75	0.042
76	0.039
77	0.036
78	0.033
79	0.03
80	0.028
81	0.026
82	0.024
83	0.022
84	0.02
85	0.018
86	0.016
87	0.014
88	0.012
89	0.01
90	0.009
91	0.008
92	0.007
93	0.006
94	0.005
95	0.004
96	0.003
97	0.002
98	0.001
99	0
100	0
