INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Item Level	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10
0	1000000	0	0	0	0	0	0	0	0	0
1	833767	153137	12501	595	0	0	0	0	0	0
2	692809	259700	43283	4208	0	0	0	0	0	0
3	573075	329167	84043	12517	1198	0	0	0	0	0
4	472475	369518	128528	26078	3401	0	0	0	0	0
5	387485	387420	172187	44641	7440	827	0	0	0	0
6	316478	388588	211857	67409	13788	1880	0	0	0	0
7	257327	377044	245498	93251	22771	3707	402	0	0	0
8	208216	357013	271955	120869	34534	6578	835	0	0	0
9	167620	331307	290767	148929	49038	10764	1575	0	0	0
10	134218	302303	301990	176161	66060	16515	2753	0	0	0
11	106869	271283	306101	201426	85219	24036	4520	546	0	0
12	84591	240416	303759	223766	105995	33472	7047	954	0	0
13	66540	210412	295858	242432	127768	44892	10515	1583	0	0
14	51999	181995	283359	256891	149853	58276	15109	2518	0	0
15	40354	155650	266847	266828	171532	73514	21004	3858	413	0
16	31087	131663	247836	272169	192095	90397	28360	5720	673	0
17	23763	110172	227022	272944	210866	108628	37307	8237	1061	0
18	18014	91198	205195	269421	227238	127821	47933	11555	1625	0
19	13537	74672	183068	261972	240693	147521	60278	15833	2426	0
20	10078	60466	161243	251084	250823	167215	74318	21234	3539	0
21	7428	48408	140216	236916	257340	186350	89962	27919	5054	407
22	5416	38300	120372	220681	260090	204355	107043	36045	7080	618
23	3904	29933	101994	202729	259043	220666	125316	45750	9743	922
24	2780	23095	85272	183664	254302	234742	144456	57148	13188	1353
25	1953	17578	70313	164063	246094	246092	164063	70313	17578	1953
26	1353	13188	57148	144456	234742	254302	183664	85272	23095	2780
27	922	9743	45750	125316	220666	259043	202729	101994	29933	3904
28	618	7080	36045	107043	204355	260090	220681	120372	38300	5416
29	407	5054	27919	89962	186350	257340	236916	140216	48408	7428
30	0	3539	21234	74318	167215	251084	250823	161243	60466	10078
31	0	2426	15833	60278	147521	240693	261972	183068	74672	13537
32	0	1625	11555	47933	127821	227238	269421	205195	91198	18014
33	0	1061	8237	37307	108628	210866	272944	227022	110172	23763
34	0	673	5720	28360	90397	192095	272169	247836	131663	31087
35	0	413	3858	21004	73514	171532	266847	266828	155650	40354
36	0	0	2518	15109	58276	149853	256891	283359	181995	51999
37	0	0	1583	10515	44892	127768	242432	295858	210412	66540
38	0	0	954	7047	33472	105995	223766	303759	240416	84591
39	0	0	546	4520	24036	85219	201426	306101	271283	106869
40	0	0	0	2753	16515	66060	176161	302303	301990	134218
41	0	0	0	1575	10764	49038	148929	290767	331307	167620
42	0	0	0	835	6578	34534	120869	271955	357013	208216
43	0	0	0	402	3707	22771	93251	245498	377044	257327
44	0	0	0	0	1880	13788	67409	211857	388588	316478
45	0	0	0	0	827	7440	44641	172187	387485	387420
46	0	0	0	0	0	3401	26078	128528	369518	472475
47	0	0	0	0	0	1198	12517	84043	329167	573075
48	0	0	0	0	0	0	4208	43283	259700	692809
49	0	0	0	0	0	0	595	12501	153137	833767
