INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	技能lv	武器类别	主手武器id	技能ID1	技能ID2	技能ID3	技能ID4	技能ID5	技能ID6	技能ID7	技能ID8	技能ID9
1	1	0	-1	0	0	0	0	0	0	0	0	0
2	1	1	1	0	0	0	0	0	0	0	0	0
3	1	1	30	0	0	0	0	0	0	0	0	0
4	1	2	60	0	0	0	0	0	0	0	0	0
5	1	3	90	2	2	2	2	2	2	2	2	2
6	1	4	120	2	2	2	2	2	2	2	2	2
7	1	5	150	1	1	1	1	1	1	1	1	1
8	1	6	180	1	1	1	1	1	1	1	1	1
9	1	9	210	0	0	0	0	0	0	0	0	0
10	1	8	212	0	0	0	0	0	0	0	0	0
#技能1（普通攻击）												
11	1	0	-1	3	3	3	3	3	3	3	3	3
12	1	1	1	3	3	3	3	3	3	3	3	3
13	1	1	30	3	3	3	3	3	3	3	3	3
14	1	2	60	3	3	3	3	3	3	3	3	3
15	1	3	90	5	5	5	5	5	5	5	5	5
16	1	4	120	5	5	5	5	5	5	5	5	5
17	1	5	150	4	4	4	4	4	4	4	4	4
18	1	6	180	4	4	4	4	4	4	4	4	4
19	1	8	210	0	0	0	0	0	0	0	0	0
20	1	8	212	0	0	0	0	0	0	0	0	0
#技能2												
21	2	0	-1	0	1	2	3	4	5	4	3	2
22	2	1	1	0	1	2	3	4	5	4	3	2
23	2	1	30	0	1	2	3	4	5	4	3	2
24	2	2	60	0	1	2	3	4	5	4	3	2
25	2	3	90	0	1	2	3	4	5	4	3	2
26	2	4	120	0	1	2	3	4	5	4	3	2
27	2	5	150	0	1	2	3	4	5	4	3	2
28	2	6	180	0	1	2	3	4	5	4	3	2
29	2	8	210	0	1	2	3	4	5	4	3	2
30	2	8	212	0	1	2	3	4	5	4	3	2
#技能3												
31	3	0	-1	0	1	2	3	4	5	4	3	2
32	3	1	1	0	1	2	3	4	5	4	3	2
33	3	1	30	0	1	2	3	4	5	4	3	2
34	3	2	60	0	1	2	3	4	5	4	3	2
35	3	3	90	0	1	2	3	4	5	4	3	2
36	3	4	120	0	1	2	3	4	5	4	3	2
37	3	5	150	0	1	2	3	4	5	4	3	2
38	3	6	180	0	1	2	3	4	5	4	3	2
39	3	8	210	0	1	2	3	4	5	4	3	2
40	3	8	212	0	1	2	3	4	5	4	3	2
#技能4												
