INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
掉落ID	物品组1价值	物品组1最大掉落	物品组1掉落内容	物品组2价值	物品组2最大掉落	物品组2掉落内容	物品组3价值	物品组3最大掉落	物品组3掉落内容	物品组4价值	物品组4最大掉落	物品组4掉落内容	物品组5价值	物品组5最大掉落	物品组5掉落内容	物品组6价值	物品组6最大掉落	物品组6掉落内容	物品组7价值	物品组7最大掉落	物品组7掉落内容	物品组8价值	物品组8最大掉落	物品组8掉落内容	物品组9价值	物品组9最大掉落	物品组9掉落内容	物品组10价值	物品组10最大掉落	物品组10掉落内容
1	39113428	1	10010000|10020000|10030000|10040000|10050000|10060000	15645371	1	10070000|10080000|10090000|10100000|10110000|10120000	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
2	39113428	1	10010001|10020001|10030001|10040001|10050001|10060001	15645371	1	10070001|10080001|10090001|10100001|10110001|10120001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
3	39113428	1	10010002|10021001|10031001|10041001|10051001|10061001	10	1	10070001|10080001|10090001|10100001|10110001|10120001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
4	10430247	1	10200000	10430247	1	10230000	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
5	10430247	1	10200001	10430247	1	10230001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
6	10430247	1	10200002	10430247	1	10230002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
7	31290743	1	10240000|10220000	19556714	1	10270000|10270001|10270002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
8	31290743	1	10240001|10220001	10	1	10270000|10270001|10270002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
9	10	1	10220002	10	1	10270000|10270001|10270002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
10	15645371	1	10280000|10210000	2607561	1	10250000	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
11	15645371	1	10280001|10210001	2607561	1	10250001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
12	10	1	10280001|10210001	2607561	1	10250002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
13	2607561	1	10260000	5215123	1	10290000	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
14	2607561	1	10260001	5215123	1	10290001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
15	10	1	10260001	10	1	10290001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
16	10	1	10010002|10021001|10031001|10041001|10051001|10061001	10	1	10070001|10080001|10090001|10100001|10110001|10120001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
17	10	1	10200002	10	1	10230002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
18	10	1	10241001|10221002	10	1	10270000|10270001|10270002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
19	10	1	10280001|10210001	10	1	10250002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
20	10	1	10260001	10	1	10290001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
21	10	1	10010002|10021001|10031001|10041001|10051001|10061001	10	1	10070001|10080001|10090001|10100001|10110001|10120001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
22	2607561	1	10201001	2607561	1	10231002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
23	10	1	10241001|10221002	10	1	10270000|10270001|10270002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
24	10	1	10280001|10210001	10	1	10250002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
25	10	1	10260001	10	1	10290001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
26	7822685	1	10016002|10026002|10036002|10046002|10056002|10066002	10	1	10070001|10080001|10090001|10100001|10110001|10120001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
27	10	1	10201001	10	1	10231002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
28	10	1	10241001|10221002	1303780	1	10271002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
29	1564537	1	10280001|10210001	521512	1	10251002	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
30	521512	1	10261002	1043024	1	10290001	100000000	1	12010001	40000000	1	11960001	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
