INT	INT	STRING	STRING	STRING	STRING	STRING	STRING
骑乘领悟技能ＩＤ	骑乘技能数	技能1	技能2	技能3	技能4	技能5	技能6
1	3	11020|11040|11030	11020|11040|11030	11020|11040|11030	11020|11040|11030	11020|11040|11030	11020|11040|11030
2	4	11010|11020|11040|11030	11010|11020|11040|11030	11010|11020|11040|11030	11010|11020|11040|11030	11010|11020|11040|11030	11010|11020|11040|11030
3	2	11011|11040	11011|11040	11011|11040	11011|11040	11011|11040	11011|11040
4	2	11011|11020	11011|11020	11011|11020	11011|11020	11011|11020	11011|11020
5	2	11011|11030	11011|11030	11011|11030	11011|11030	11011|11030	11011|11030
6	4	11010|11020|11040|11030	11010|11020|11040|11030	11010|11020|11040|11030	11010|11020|11040|11030	11010|11020|11040|11030	11010|11020|11040|11030
7	2	11011|11020	11011|11020	11011|11020	11011|11020	11011|11020	11011|11020
8	2	11011|11030	11011|11030	11011|11030	11011|11030	11011|11030	11011|11030
9	2	11011|11040	11011|11040	11011|11040	11011|11040	11011|11040	11011|11040
10	2	11050|11070	11050|11070	11050|11070	11050|11070	11050|11070	11050|11070
11	4	11010|11020|11040|11020|11200	11010|11020|11040|11020|11200	11010|11020|11040|11020|11200	11010|11020|11040|11020|11200	11010|11020|11040|11020|11200	11010|11020|11040|11020|11200
12	2	11051|11220	11051|11220	11051|11220	11051|11220	11051|11220	11051|11220
13	3	11011|11050|11400	11011|11050|11400	11011|11050|11400	11011|11050|11400	11011|11050|11400	11011|11050|11400
14	3	11201|11051|11060	11201|11051|11060	11201|11051|11060	11201|11051|11060	11201|11051|11060	11201|11051|11060
15	6	11331|11280|11010|11020|11040|11030	11331|11280|11010|11020|11040|11030	11331|11280|11010|11020|11040|11030	11331|11280|11010|11020|11040|11030	11331|11280|11010|11020|11040|11030	11331|11280|11010|11020|11040|11030
16	4	11012|11051|11221|11300	11012|11051|11221|11300	11012|11051|11221|11300	11012|11051|11221|11300	11012|11051|11221|11300	11012|11051|11221|11300
17	4	11041|11050|11010|11420	11041|11050|11010|11420	11041|11050|11010|11420	11041|11050|11010|11420	11041|11050|11010|11420	11041|11050|11010|11420
18	4	11021|11050|11010|11330	11021|11050|11010|11330	11021|11050|11010|11330	11021|11050|11010|11330	11021|11050|11010|11330	11021|11050|11010|11330
19	4	11031|11050|11010|11410	11031|11050|11010|11410	11031|11050|11010|11410	11031|11050|11010|11410	11031|11050|11010|11410	11031|11050|11010|11410
20	3	11010|11050|11080	11010|11050|11080	11010|11050|11080	11010|11050|11080	11010|11050|11080	11010|11050|11080
21	3	11281|11050|11370	11281|11050|11370	11281|11050|11370	11281|11050|11370	11281|11050|11370	11281|11050|11370
22	3	11051|11220|11250	11051|11220|11250	11051|11220|11250	11051|11220|11250	11051|11220|11250	11051|11220|11250
23	3	11047|11050|11010	11047|11050|11010	11047|11050|11010	11047|11050|11010	11047|11050|11010	11047|11050|11010
24	3	11011|11050|11331	11011|11050|11331	11011|11050|11331	11011|11050|11331	11011|11050|11331	11011|11050|11331
25	3	11011|11050|11411	11011|11050|11411	11011|11050|11411	11011|11050|11411	11011|11050|11411	11011|11050|11411
							
