INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
ID	策划专用ID	技能逻辑ID	效果的简要逻辑说明	冷却时间	聚气时间(ms)	引导时间(ms)	条件或消耗参数说明	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件或消耗参数值	条件或消耗参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	技能描述
0	0	0		1300	-1	-1																																								{COL=00CCFF}自动连续释放{BR}{COL=FFFFFF}有效距离：3米{BR}瞬间释放
1	101	20		1300	-1	-1	法力需求	0														单次物理攻击强度修正	43																							{COL=00CCFF}自动连续释放{BR}{COL=FFFFFF}有效距离：3米{BR}瞬间释放{BR}单体攻击，物理攻击增加43点
2	102	20		1300	-1	-1	法力需求	0														单次物理攻击强度修正	71																							{COL=00CCFF}自动连续释放{BR}{COL=FFFFFF}有效距离：3米{BR}瞬间释放{BR}单体攻击，物理攻击增加71点
3	103	20		1300	-1	-1	法力需求	0														单次物理攻击强度修正	99																							{COL=00CCFF}自动连续释放{BR}{COL=FFFFFF}有效距离：3米{BR}瞬间释放{BR}单体攻击，物理攻击增加99点
4	104	20		1300	-1	-1	法力需求	0														单次物理攻击强度修正	127																							{COL=00CCFF}自动连续释放{BR}{COL=FFFFFF}有效距离：3米{BR}瞬间释放{BR}单体攻击，物理攻击增加127点
5	105	20		1300	-1	-1	法力需求	0														单次物理攻击强度修正	155																							{COL=00CCFF}自动连续释放{BR}{COL=FFFFFF}有效距离：3米{BR}瞬间释放{BR}单体攻击，物理攻击增加155点
6	106	20		1300	-1	-1	法力需求	0														单次物理攻击强度修正	183																							{COL=00CCFF}自动连续释放{BR}{COL=FFFFFF}有效距离：3米{BR}瞬间释放{BR}单体攻击，物理攻击增加183点
7	107	20		1300	-1	-1	法力需求	0														单次物理攻击强度修正	211																							{COL=00CCFF}自动连续释放{BR}{COL=FFFFFF}有效距离：3米{BR}瞬间释放{BR}单体攻击，物理攻击增加211点
8	108	20		1300	-1	-1	法力需求	0														单次物理攻击强度修正	239																							{COL=00CCFF}自动连续释放{BR}{COL=FFFFFF}有效距离：3米{BR}瞬间释放{BR}单体攻击，物理攻击增加239点
